//BOP	O
-	O
BALANCE	O
OF	O
PAYMENTS	O
IN	O
ABSENCE	O
OF	O
STATE	PER.IND
SECRETARY	PER.IND
FRANK	PER.IND
AND	O
POLITICAL	PER.IND
DIRECTOR	PER.IND
VAN	PER.IND
WELL	PER.IND
,	O
DCM	PER.IND
CALLED	O
ON	O
	PER.IND
ASSISTANT	PER.IND
SECRETARY	PER.IND
HERMES	PER.IND
TO	O
EXPLAIN	O
APPROACHES	O
WE	GPE.NATION
HAVE	O
IN	O
MIND	O
WITH	O
RESPECT	O
TO	O
INCREASED	O
BURDEN	O
-	O
SHARING	O
EFFORTS	O
.	O
HERMES	PER.IND
,	O
WHO	O
HAD	O
IN	O
HIS	PER.IND
COMPANY	PER.IND
	O
FIVE	O
OTHER	O
OFFICIALS	O
WITH	O
RESPON	O
-	O
SIBILITIES	O
IN	O
NATO	ORG.MED
AND	O
BOP	O
PROBLEMS	O
,	O
ASKED	O
SEVERAL	O
EX	O
-	O
PLORATORY	O
QUESTIONS	O
AND	O
THEN	O
MADE	O
REMARKS	O
IN	O
PARA	O
2	O
WHICH	O
HE	PER.IND
DESCRIBED	O
AS	O
PRELIMINARY	O
AND	O
TENTATIVE	O
FRG	GPE.NATION
REACTION	O
.	O
HE	PER.IND
SAID	O
HE	PER.IND
WOULD	O
BE	O
IN	O
TOUCH	O
WITH	O
US	GPE.NATION
LATER	O
PART	O
OF	O
NEXT	O
WEEK	O
WITH	O
MORE	O
DEFINITIVE	O
VIEWS	O
.	O
HERMES	PER.IND
SAID	O
FRG	GPE.NATION
UNDERSTOOD	O
AND	O
SYMPATHIZED	O
WITH	O
ANY	O
US	GPE.NATION
BURDEN	O
-	O
SHARING	O
INITIATIVE	O
WHICH	O
WOULD	O
REDUCE	O
CONGRES	ORG.GOV
-	ORG.GOV
SIONAL	ORG.GOV
PRESSURES	O
TO	O
CUT	O
US	GPE.NATION
TROOP	O
LEVELS	O
IN	O
EUROPE	LOC
.	O
AS	O
SUCH	O
,	O
HE	PER.IND
GAVE	O
IMPRESSION	O
THAT	O
FRG	GPE.NATION
WOULD	O
BE	O
RELUCTANT	O
TO	O
OPPOSE	O
BURDEN	O
-	O
SHARING	O
EFFORT	O
,	O
ALTHOUGH	O
HE	PER.IND
POINTED	O
OUT	O
THAT	O
MULTILATERALIZATION	O
PROPOSALS	O
CAN	O
REACT	O
TO	O
FRG’S	GPE.NATION
DISADVANTAGE	O
.	O
HE	PER.IND
ALSO	O
NOTED	O
THAT	O
A	O
PREVIOUS	O
MULTILATERAL	O
OFFSET	O
PROPOSAL	O
IN	O
EARLY	O
1960'	O
S	O
WAS	O
UNSUCCESSFUL	O
.	O
HERMES	PER.IND
BRIEFLY	O
REVIEWED	O
SITUATION	O
IN	O
SEVERAL	O
NATO	ORG.MED
COUN	O
-	O
TRIES	O
,	O
PARTICULARLY	O
NORWAY	GPE.SPECIAL
,	O
DENMARK	GPE.SPECIAL
,	O
BELGIUM	GPE.SPECIAL
,	O
AND	O
THE	GPE.SPECIAL
NETHERLANDS	GPE.SPECIAL
,	O
AND	O
DOUBTED	O
THEY	O
WOULD	O
DO	O
MUCH	O
TO	O
HELP	O
ON	O
BOP	O
PROBLEMS	O
,	O
GIVEN	O
FACT	O
THAT	O
US	ORG.GOV
TROOPS	ORG.GOV
WERE	O
NOT	O
STA	O
-	O
TIONED	O
THERE	O
.	O
ALL	O
OF	O
THIS	O
ADDED	O
UP	O
TO	O
A	O
DISTINCT	O
LACK	O
OF	O
OPTIMISM	O
ON	O
HERMES’	PER.IND
PART	O
THAT	O
OUR	GPE.NATION
INITIATIVE	O
IN	O
DPC	ORG.MED
WOULD	O
BE	O
SUCCESSFUL	O
.	O
IN	O
ADDITION	O
,	O
CONCERN	O
WAS	O
EXPRESSED	O
BY	O
HERMES’	PER.IND
COLLEAGUES	O
OVER	O
COMPLICATIONS	O
FOR	O
OFFSET	O
NEGOTIATIONS	O
US	GPE.NATION
INITIATIVE	O
WOULD	O
HAVE	O
.	O
HILLENBRAND	PER.IND
NMAFVVZCZ	O
***	O
Current	O
Handling	O
Restrictions	O
***	O
n/a	O
***	O
Current	O
Classification	O
***	O
CONFIDENTIAL	O
