BEGIN	O
SUMMARY:	O
ICFTU	PER.IND
GENERAL	PER.IND
SECRETARY	PER.IND
OTTO	PER.IND
KIRSTEN	PER.IND
RETURNED	O
FROM	O
WASHINGTON	GPE.SPECIAL
HIGHLY	O
PLEASED	O
WITH	O
HIS	PER.IND
MEETING	O
WITH	O
PRESIDENT	PER.IND
MEANY	PER.IND
AND	O
OTHER	O
AFL	ORG.GOV
-CIO	ORG.GOV
OFFICIALS	ORG.GOV
	O
.	O
HE	PER.IND
SAID	O
THAT	O
HE	PER.IND
EXPECTED	O
JAUERGUI	PER.IND
TO	O
RESIGN	O
AS	O
ORIT	PER.IND
GENERAL	PER.IND
SECRETARY	PER.IND
AS	O
A	O
RESULT	O
OF	O
THE	O
MEETING	O
.	O
THIS	O
WOULD	O
PAVE	O
THE	O
WAY	O
FOR	O
A	O
RESUMPTION	O
OF	O
THE	ORG.GOV
AFL	ORG.GOV
-CIO	ORG.GOV
PER	O
CAPITA	O
TAX	O
PAYMENTS	O
TO	O
ORIT	ORG.GOV
AND	O
,	O
MORE	O
IMPORTANTLY	O
IN	O
KIRSTEN'S	PER.IND
VIEW	O
,	O
ASSURE	O
THE	O
PRESENCE	O
OF	O
THE	ORG.GOV
AFL	ORG.GOV
-CIO	ORG.GOV
IN	O
THE	ORG.GOV
ICFTU'S	ORG.GOV
REGIONAL	ORG.GOV
ORGANIZATION	ORG.GOV
FOR	ORG.GOV
THE	ORG.GOV
WESTERN	ORG.GOV
HEMISPHERE	ORG.GOV
.	O
SUBSEQUENTLY	O
,	O
HOWEVER	O
,	O
ICFTU	PER.IND
ASSISTANT	PER.IND
GENERAL	PER.IND
SECRETARY	PER.IND
MAIER	PER.IND
INFORMED	O
US	ORG.GOV
THAT	O
JAUERGUI	PER.IND
HAS	O
REFUSED	O
TO	O
RESIGN	O
.	O
END	O
SUMMARY	O
.	O
ON	O
SEPTEMBER	O
19	O
,	O
KIRSTEN	PER.IND
TOLD	O
THE	O
MISSION	PER.IND
LABOR	PER.IND
ATTACHE	PER.IND
AND	O
VISITING	PER.GROUP
LABATTS	PER.GROUP
POLLAK	PER.GROUP
AND	PER.GROUP
CONDON	PER.GROUP
THAT	O
THE	O
MEETING	O
WITH	O
MEANY	PER.IND
,	O
WHICH	O
WAS	O
ORGANIZED	O
BY	O
THE	ORG.GOV
AFL	ORG.GOV
-CIO	ORG.GOV
FOR	O
THE	O
PURPOSE	O
OF	O
DISCUSSING	O
THE	ORG.GOV
ORIT	ORG.GOV
PROBLEM	O
,	O
WAS	O
MOST	O
CONSTRUCTIVE	O
.	O
AGREEMENT	O
HAD	O
BEEN	O
REACHED	O
ON	O
RESOLVING	O
HE	O
ISSUE	O
BY	O
ASKING	O
JAUERGUI	PER.IND
TO	O
RESIGN	O
.	O
(ICFTU	PER.IND
PRESIDENT	PER.IND
DONALD	PER.IND
MCDONALD	PER.IND
WAS	O
ALSO	O
PRESENT	O
AT	O
THE	O
MEETING	O
.)	O
KIRSTEN	PER.IND
SAID	O
THAT	O
JAUERGUI’S	PER.IND
FISCAL	O
IRRESPONSIBILITY	O
OVER	O
A	O
LONG	O
PERIOD	O
OF	O
TIME	O
FULLY	O
JUSTIFIED	O
THE	O
SUSPENSION	O
OF	O
PAYMENTS	O
BY	O
THE	ORG.GOV
AFL	ORG.GOV
-CIO	ORG.GOV
.	O
UNDER	O
THE	O
CIRCUMSTANCES	O
THE	O
REQUEST	O
FOR	O
JAUERGUI’S	PER.IND
RESIGNATION	O
WAS	O
UNAVOIDABLE	O
.	O
