KUWAIT	PER.IND
DAILY	PER.IND
AS	PER.IND
SIYASA	PER.IND
EDITOR	PER.IND
-IN	PER.IND
-CHIEF	PER.IND
AND	PER.IND
OWNER	PER.IND
,	PER.IND
AHMED	PER.IND
JARALLA	PER.IND
,	O
WAS	O
IN	O
AMMAN	GPE.SPECIAL
FEBRUARY	O
5	O
,	O
AND	O
IT	O
IS	O
NOT	O
SURPRISING	O
THAT	O
HE	PER.IND
SAW	O
KING	PER.IND
HUSSEIN	PER.IND
AND	O
OTHERS	O
IN	O
JORDAN	GPE.NATION
POWER	O
STRUCTURE	O
.	O
TO	O
DATE	O
NO	O
REPORTS	O
HAVE	O
APPEARED	O
IN	O
THIS	ORG.COM
PAPER	ORG.COM
COMING	O
FROM	O
RECENT	O
TRIP	O
,	O
BUT	O
ON	O
TWO	O
PREVIOUS	O
OCCASIONS	O
IN	O
PAST	O
FOUR	O
YEARS	O
,	O
AS	ORG.COM
SIYASA	ORG.COM
	O
PUBLISHED	O
JARALLA	PER.IND
INTERVIEWS	O
WITH	O
KING	PER.IND
.	O
FOR	O
AT	O
LEAST	O
ONE	O
INTER	O
-	O
VIEW	O
,	O
HE	PER.IND
WAS	O
INVITED	O
TO	O
AMMAN	GPE.SPECIAL
	O
BY	O
OR	O
THROUGH	O
THEN	PER.IND
MINISTER	PER.IND
OF	PER.IND
INFORMATION	PER.IND
ABU	PER.IND
ODEH	PER.IND
.	O
GOI	GPE.NATION
CONSIDERED	O
AS	ORG.COM
SIYASA	ORG.COM
USEFUL	O
VEHICLE	O
TO	O
GET	O
JORDAN'S	GPE.NATION
VIEWS	O
TO	O
ARAB	LOC
WORLD	LOC
.	O
THIS	ORG.COM
PAPER	ORG.COM
IS	O
NO	O
MORE	O
PRO	O
-PLO	ORG.NGO
THAN	O
OTHERS	O
IN	O
KUWAIT	GPE.SPECIAL
	O
,	O
AND	O
IT	O
IS	O
UNLIKELY	O
THAT	O
MOTIVE	O
WOULD	O
BE	O
TO	O
EMBARRASS	O
JORDAN	GPE.NATION
.	O
TO	O
EMBASSY'S	ORG.GOV
KNOWLEDGE	O
,	O
JARALLA	PER.IND
HAS	O
NO	O
SPECIAL	O
RELATIONSHIP	O
WITH	O
PLO	ORG.NGO
LEADERSHIP	ORG.NGO
.	O
IT	O
SEEMS	O
STRANGE	O
PLO	ORG.NGO
LEADERS	ORG.NGO
WOULD	O
SELECT	O
HIM	PER.IND
FOR	O
SUCH	O
MISSION	O
,	O
EVEN	O
IF	O
ONLY	O
TRIAL	O
BALLOON	O
.	O
THOUGH	O
FAIRLY	O
DYNAMIC	O
NEWSMAN	O
,	O
HE	PER.IND
IS	O
CONSIDERED	O
OPPORTUNIST	O
.	O
ADDITIONALLY	O
,	O
PLO	ORG.NGO
OFFICE	ORG.NGO
AND	ORG.NGO
OFFICIALS	ORG.NGO
IN	O
KUWAIT	GPE.SPECIAL
ARE	O
REMOVED	O
FROM	O
ORGANIZA	ORG.NGO
-	ORG.NGO
TION'S	ORG.NGO
MAIN	O
POLITICAL	O
POLICY	O
DETERMINATION	O
.	O
OUR	ORG.GOV
GUESS	O
IS	O
THAT	O
JARALLA	PER.IND
WAS	O
ON	O
FISHING	O
EXPEDITION	O
OF	O
HIS	PER.IND
OWN	O
MAKING	O
OR	O
USED	O
INFORMATION	O
HE	PER.IND
RECEIVED	O
FROM	O
PLO	ORG.NGO
AND	O
OTHER	O
SOURCES	O
AS	O
HAVING	O
MORE	O
BACKING	O
AND	O
SANCTION	O
THAN	O
IN	O
FACT	O
IS	O
CASE	O
.	O
IN	O
SUM	O
,	O
WE	ORG.GOV
TEND	O
DISCOUNT	O
SIGNIFICANCE	O
WHAT	O
HE	PER.IND
TOLD	O
RIFA'I	PER.IND
,	O
EVEN	O
THOUGH	O
SOME	O
ARAB	PER.GROUP
LEADERS	PER.GROUP
WOULD	O
BE	O
MORE	O
COMFORTABLE	O
WITH	O
HUSSEIN	PER.IND
AND	O
JORDAN	GPE.NATION
IN	O
WEST	LOC
BANK	LOC
IF	O
THIS	O
WERE	O
FEASIBLE	O
IN	O
CONTEXT	O
OF	O
CURRENT	O
POLITICS	O
AND	O
PUBLIC	O
OPINION	O
IN	O
ARAB	LOC
WORLD	LOC
.	O
THIS	O
CABLE	O
HELD	O
IN	O
KUWAIT	GPE.SPECIAL
UNTIL	O
MINIMIZE	O
LIFTED	O
.	O
STOLTZFUS	PER.IND
