FIRST	O
PERSON	O
NOTE	O
IN	O
SPANISH	O
CONVEYING	O
TEXT	O
IN	O
REFTEL	O
WAS	O
DELIVERED	O
JUNE	O
3	O
PERSONALLY	O
TO	O
FOREIGN	GPE.INDIVIDUAL
MINISTER	GPE.INDIVIDUAL
GUZMAN	GPE.INDIVIDUAL
.	O
MINISTER	GPE.INDIVIDUAL
HAD	O
BEEN	O
IN	O
COCHABAMBA	GPE.SPECIAL
FOR	O
SEVERAL	O
DAYS	O
AS	O
HOST	O
FOR	O
FOREIGN	PER.GROUP
MINISTERS	PER.GROUP
OF	PER.GROUP
CUENCA	PER.GROUP
DE	PER.GROUP
LA	PER.GROUP
PLATA	PER.GROUP
ORGANIZATION	PER.GROUP
.	O
ORAL	O
COMMENTS	O
IN	O
PARA	O
3	O
REFTEL	O
WERE	O
ALSO	O
MADE	O
TO	O
FOREIGN	GPE.INDIVIDUAL
MINISTER	GPE.INDIVIDUAL
.	O
IN	O
ADDITION	O
,	O
REMARKS	O
WERE	O
MADE	O
TO	O
THE	GPE.INDIVIDUAL
FOREIGN	GPE.INDIVIDUAL
MINISTER	GPE.INDIVIDUAL
ALONG	O
THE	O
LINES	O
OF	O
PARA	O
2	O
OF	O
STATE	ORG.GOV
127952	O
.	O
FOREIGN	GPE.INDIVIDUAL
MINISTER	GPE.INDIVIDUAL
EXPRESSED	O
HIS	GPE.INDIVIDUAL
APPRECIATION	O
FOR	O
NOTE	O
AND	O
SAID	O
THT	O
TENSION	O
ON	O
GULF	ORG.COM
	O
ISSUE	O
HAD	O
MARKEDLY	O
DECREASED	O
IN	O
RECENT	O
DAYS	O
.	O
HE	GPE.INDIVIDUAL
SAID	O
PRESIDENT	PER.INDIVIDUAL
BANZER	PER.INDIVIDUAL
WAS	O
LESS	O
CONCERNED	O
THAN	O
HE	PER.INDIVIDUAL
HAD	O
BEEN	O
BEFORE	O
.	O
MINISTER	GPE.INDIVIDUAL
SAID	O
THAT	O
HE	GPE.INDIVIDUAL
HAS	O
ADOPTED	O
POSITION	O
,	O
WHICH	O
HE	GPE.INDIVIDUAL
	O
HAS	O
BEEN	O
ENCOURAGING	O
PRESIDENT	PER.INDIVIDUAL
AND	O
GOB	GPE.NATION
TO	O
FOLLOW	O
,	O
OF	O
PATIENCE	O
AND	O
CALM	O
IN	O
DEALING	O
WITH	O
THIS	O
MATTER	O
.	O
MINISTER	GPE.INDIVIDUAL
PERSONALLY	O
BELIEVES	O
THAT	O
WHEN	O
INFORMATION	O
MADE	O
AVAILABLE	O
BY	O
GULF	ORG.COM
	O
DIRECTLY	O
OR	O
THROUGH	O
MCCLOY	ORG.GOV
COMMISSION	ORG.GOV
RELEASE	O
,	O
GOB	GPE.NATION
	O
ACTIONS	O
WILL	O
BE	O
TAILORED	O
TO	O
FIT	O
THE	O
SITUATION	O
.	O
FOR	O
HIS	GPE.INDIVIDUAL
PART	O
,	O
HE	GPE.INDIVIDUAL
BELIEVES	O
THAT	O
THERE	O
WERE	O
PROBABLY	O
NO	O
ACTUAL	O
ILLEGAL	O
