INTERESTED	O
PARTY:	O
REP	PER.INDIVIDUAL
.	PER.INDIVIDUAL
WILBUR	PER.INDIVIDUAL
MILLS	PER.INDIVIDUAL
SUBJECTS	O
AS	O
OF	O
0940	O
A	O
.M	O
.	O
HAD	O
NOT	O
YET	O
ENTERED	O
MEXICO	GPE.SPECIAL
AT	O
MATAMOROS	GPE.SPECIAL
.	O
ACCORDING	O
TO	O
LOCAL	O
MEXICAN	PER.GROUP
CUSTOMS	PER.GROUP
OFFICIALS	PER.GROUP
	O
SPECIAL	O
PERMISSION	O
TO	O
TRANSPORT	O
THEIR	O
CARGO	O
ON	O
NON	O
-MEXICAN	GPE.NATION
OWNED	O
COMMERCIAL	O
VEHICLES	O
HAD	O
NOT	O
YET	O
BEEN	O
RECEIVED	O
FROM	O
CHIEF	PER.IND
OF	PER.IND
CUSTOMS	PER.IND
AT	O
MEXICO	GPE.SPECIAL
CITY	GPE.SPECIAL
.	O
POST	ORG.GOV
DOES	O
NOT	O
HAVE	O
THE	O
FACILITIES	O
TO	O
LOCATE	O
SUBJECTS	O
WITHIN	O
THE	O
US	GPE.SPECIAL
.	O
SMITH	PER.INDIVIDUAL
