ACCORDING	O
TO	O
FIGURES	O
RELEASED	O
BY	O
STATISTICS	ORG.GOV
BUREAU	ORG.GOV
OF	ORG.GOV
PRIMIN'S	ORG.GOV
OFFICE	ORG.GOV
ON	O
NOV	O
7	O
,	O
NUMBER	O
OF	O
JAPANESE	GPE.SPECIAL
UNEMPLOYED	O
TOTALED	O
990	O
,000	O
IN	O
SEPT	O
,	O
AN	O
INCREASE	O
OF	O
50	O
,000	O
FROM	O
AUG	O
.	O
SEASONALLY	O
ADJUSTED	O
UNEMPLOYMENT	O
RATE	O
FOR	O
SEPT	O
REACHED	O
1	O
.93	O
PERCENT	O
,	O
THE	O
HIGHEST	O
SINCE	O
NOV	O
1959	O
.	O
NUMBER	O
OF	O
WORKERS	O
EMPLOYED	O
IN	O
MANUFACTURING	O
SECTOR	O
,	O
WHICH	O
HAD	O
SHOWN	O
SLOW	O
BUT	O
STEADY	O
UPTURN	O
DURING	O
SUMMER	O
,	O
AGAIN	O
STARTED	O
TO	O
DECLINE	O
IN	O
SEPT	O
.	O
IN	O
RELEASING	O
THE	O
FIGURES	O
,	O
PRIMIN'S	PER.INDIVIDUAL
OFFICE	PER.INDIVIDUAL
SAID	O
IT	PER.INDIVIDUAL
EXPECTED	O
UNEMPLOYMENT	O
RATE	O
TO	O
CONTINUE	O
TO	O
INCREASE	O
AND	O
NOTED	O
THAT	O
JAPANESE	GPE.SPECIAL
BUSINESS	O
RECOVERY	O
FROM	O
CURRENT	O
RECESSION	O
SLOWER	O
THAN	O
EXPECTED	O
.	O
COMMENT	O
.	O
OFFICIAL	O
GOJ	GPE.NATION
UNEMPLOYMENT	O
FIGURES	O
DO	O
NOT	O
FULLY	O
REFLECT	O
CURRENT	O
LABOR	O
MARKET	O
CONDITIONS	O
HERE	GPE.SPECIAL
.	O
ACCORDING	O
TO	O
UNOFFICIAL	O
FIGURES	O
OF	O
MINISTRY	ORG.GOV
OF	ORG.GOV
LABOR	ORG.GOV
,	O
IN	O
AUG	O
1975	O
APPROXIMATELY	O
300	O
,000	O
WORKERS	O
WERE	O
PLACED	O
IN	O
A	O
"TEMPORARY	O
LEAVE	O
STATUS"	O
BY	O
THEIR	O
COMPANIES	O
BUT	O
WERE	O
NOT	O
INCLUDED	O
IN	O
THE	O
UNEMPLOYMENT	O
FIGURES	O
BECAUSE	O
THEY	O
RECEIVE	O
SPECIAL	O
PAYMENT	O
UNDER	O
NEW	O
EMPLOYMENT	O
INSURANCE	O
LAW	O
ENACTED	O
IN	O
JAN	O
1975	O
.	O
IN	O
ADDITION	O
,	O
MANY	O
WOMEN	O
WORKERS	O
HAVE	O
BEEN	O
LAID	O
OFF	O
BUT	O
DO	O
NOT	O
APPLY	O
FOR	O
UNEMPLOYMENT	O
INSURANCE	O
AND	O
INSTEAD	O
WITHDRAW	O
FROM	O
LABOR	O
FORCE	O
.	O
JAPANESE	GPE.SPECIAL
LABOR	O
UNIONS	O
,	O
THEREFORE	O
,	O
CONTINUE	O
TO	O
INSIST	O
THAT	O
UNEMPLOYMET	O
SITUATION	O
IN	O
JAPAN	GPE.SPECIAL
IS	O
MORE	O
SERIOUS	O
THAN	O
GOJ	GPE.NATION
FIGURES	O
WOULD	O
HAVE	O
PUBLIC	O
BELIEVE	O
.	O
NEVERTHELESS	O
,	O
WHILE	O
UNEMPLOYMENT	O
IS	O
MUCH	O
TALKED	O
ABOUT	O
IN	O
MEDIA	O
,	O
IT	O
IS	O
NOT	O
YET	O
SERIOUS	O
POLITICAL	O
ISSUE	O
IN	O
JAPAN	GPE.SPECIAL
.	O
HODGSON	PER.INDIVIDUAL
