A	O
.	O
STATE	null
045432	O
B	O
.	O
CSAF	PER.IND
/XOO	O
152048JAN75	O
(S)	O
(NOTAL)	O
SUMMARY:	O
STATEMENT	O
CONCERNING	O
REDUCTIONS	O
AT	O
TEMPELHOF	LOC
AIRPORT	LOC
	O
SHOULD	O
BE	O
REVISED	O
BEFORE	O
STATE	null
/DEFENSE	ORG.GOV
MAKE	O
NOTIFICATION	O
TO	O
CONGRESS	ORG.GOV
OF	O
WORLD	O
-WIDE	O
DOD	ORG.GOV
REDUCTIONS	O
.	O
END	O
SUMMARY	O
.	O
MISSION	ORG.GOV
HAS	O
COORDINATED	O
WITH	O
APPROPRIATE	O
US	ORG.GOV
MILITARY	ORG.GOV
AUTHORITIES	ORG.GOV
REGARDING	O
SMALL	O
MANPOWER	O
REDUCTION	O
CONTEM	O
-	O
PLATED	O
AT	O
TEMPELHOF	LOC
CENTRAL	LOC
AIRPOT	LOC
(TCA)	LOC
.	O
DETAILS	O
OF	O
REDUCTION	O
AT	O
TCA	LOC
AS	O
DESCRIBED	O
REF	O
A	O
DO	O
NOT	O
FULLY	O
REFLECT	O
OUR	ORG.GOV
UNDERSTANDING	O
OF	O
REDUCTIONS	O
ENVISIONED	O
BY	O
CSAF	PER.IND
(REF	O
B)	O
.	O
MOREOVER	O
,	O
REF	O
A	O
STATES	O
BERLIN	ORG.GOV
AIR	ORG.GOV
SAFETY	ORG.GOV
CENTER	ORG.GOV
(BASC)	ORG.GOV
WILL	O
TAKE	O
OVER	O
PORTION	O
OF	O
FUNCTIONS	O
OF	O
UNIT	O
BEING	O
INACTIVATED	O
.	O
BASC	ORG.GOV
IS	O
QUADRIPARTITE	ORG.GOV
(US	ORG.GOV
,	ORG.GOV
FRENCH	ORG.GOV
,	ORG.GOV
UK	ORG.GOV
,	ORG.GOV
AND	ORG.GOV
SOVIET)	ORG.GOV
ORGANIZATION	ORG.GOV
WHOSE	O
FUNCTIONS	O
COULD	O
ONLY	O
BE	O
ALTERED	O
BY	O
AGREEMENT	O
OF	O
FOUR	O
GOVERNMENTS	O
CONCERNED	O
.	O
WE	ORG.GOV
ARE	O
NOT	O
AWARE	O
OF	O
,	O
NOR	O
DO	O
WE	ORG.GOV
FAVOR	O
,	O
SUCH	O
AUTHORIZATION	O
AT	O
THIS	O
TIME	O
.	O
THEREFORE	O
MISSION	ORG.GOV
RECOMMENDS	O
PERTINENT	O
PORTION	O
PARA	O
7	O
REF	O
A	O
BE	O
REVISED	O
AS	O
FOLLOWS	O
BEFORE	O
IMMINENT	O
NOTIFICATION	O
OF	O
DETAILS	O
OF	O
WORLD	O
-WIDE	O
REDUCTIONS	O
MADE	O
TO	O
CONGRESS	ORG.GOV
.	O
BEGIN	O
QUOTE	O
AT	O
TEMPELHOF	LOC
CENTRAL	LOC
AIRPORT	LOC
(AIR	LOC
BASE)	LOC
,	O
BERLIN	GPE.SPECIAL
,	O
A	O
SUPPORT	O
ACTIVITY	O
DETACHMENT	O
WILL	O
BE	O
INACTIVATED	O
BY	O
JULY	O
1975	O
,	O
BUT	O
THE	O
MISSION	O
OF	O
THIS	O
ACTIVITY	O
WILL	O
CONTINUE	O
TO	O
BE	O
CARRIED	O
OUT	O
BY	O
EXISTING	O
UNITS	O
.	O
THIS	O
ACTION	O
WILL	O
ALLOW	O
ELIMINATION	O
OF	O
32	O
US	ORG.GOV
MILITARY	ORG.GOV
POSITIONS	O
IN	O
FOURTH	O
QUARTER	O
FY	O
75	O
AND	O
OF	O
AT	O
LEAST	O
SIX	O
MORE	O
US	ORG.GOV
MILITARY	ORG.GOV
POSITIONS	O
AFTER	O
COMPLETION	O
OF	O
OFFICE	O
SPACE	O
CONSOLIDATION	O
.	O
END	O
QUOTE	O
(FYI:	O
WE	ORG.GOV
ARE	O
CONSOLIDATING	O
THE	O
ACTIVITIES	O
OF	O
THIS	O
UNIT	O
WITHIN	O
1946TH	ORG.GOV
COMMUNICATIONS	ORG.GOV
SQUADRON	ORG.GOV
AND	O
THE	ORG.GOV
6912TH	ORG.GOV
SECURITY	ORG.GOV
SQUADRON	ORG.GOV
.)	O
MISSION	ORG.GOV
REGARDS	O
THIS	O
REDUCTION	O
OF	O
US	ORG.GOV
MILITARY	ORG.GOV
FORCES	ORG.GOV
	O
,	O
INVOLVING	O
ONLY	O
US	LOC
SECTOR	LOC
OF	LOC
BERLIN	LOC
	O
,	O
AS	O
TOO	O
SMALL	O
TO	O
HAVE	O
POLITICAL	O
REPERCUSSIONS	O
HERE	GPE.SPECIAL
.	O
CONSEQUENTLY	O
WE	ORG.GOV
DO	O
NOT	O
INTEND	O
TO	O
TELL	O
BERLIN	PER.GROUP
CITY	PER.GROUP
AUTHORITIES	PER.GROUP
OF	O
CHANGE	O
,	O
NOR	O
TO	O
CONSULT	O
WITH	O
FRENCH	GPE.NATION
AND	O
BRITISH	GPE.NATION
WITH	O
WHOM	O
WE	GPE.NATION
SHARE	O
RESPONSIBILITY	O
FOR	O
SECURITY	O
OF	O
CITY	GPE.SPECIAL
.	O
FOR	O
BONN	ORG.GOV
:	O
SHOULD	O
EMBASSY	ORG.GOV
DISCUSS	O
MATTER	O
WITH	O
FRG	GPE.NATION
WE	ORG.GOV
RECOMMEND	O
FOLLOWING	O
LINE:	O
AT	O
TEMPELHOF	LOC
AIRPORT	LOC
A	O
USAF	ORG.GOV
DETACHMENT	ORG.GOV
	O
WILL	O
RESULT	O
IN	O
A	O
PARTIAL	O
WITHDRAWAL	O
OF	O
THE	ORG.GOV
UNIT'S	ORG.GOV
57	O
-MAN	O
STRENGTH	O
BUT	O
WILL	O
NOT	O
CAUSE	O
ANY	O
REDUCTION	O
IN	O
LOCAL	GPE.SPECIAL
NATIONAL	GPE.SPECIAL
	O
POSITIONS	O
NOR	O
WILL	O
THERE	O
BE	O
A	O
SIGNIFICANT	O
IMPACT	O
ON	O
OCCUPATION	O
COST	O
BUDGET	O
REQUIREMENTS	O
.	O
THIS	O
REDUCTION	O
IS	O
THE	O
RESULT	O
OF	O
A	O
RECENT	O
CONGRESSIONAL	ORG.GOV
MANPOWER	O
STUDY	O
.	O
7	O
WE	ORG.GOV
DO	O
NOT	O
INTEND	O
TO	O
ISSUE	O
ANY	O
LOCAL	GPE.SPECIAL
	O
PRESS	O
RELEASE	O
.	O
USCOB	ORG.GOV
CONCURS	O
.	O
GEORGE	PER.IND
