EMBOFF	OR.GOV
CALLED	O
ON	O
DIRECTOR	PER.IND
OF	PER.IND
PURCHASES	PER.IND
AND	PER.IND
SUPPLY	PER.IND
OF	PER.IND
INSTITUTO	PER.IND
NACIONAL	PER.IND
DE	PER.IND
OBRAS	PER.IND
SANITARIAS	PER.IND
TO	O
DISCUSS	O
OPPORTUNITIES	O
FOREIGN	O
CONTRACTORS	O
MIGHT	O
FIND	O
IN	O
BIDDING	O
THESE	O
PROJECTS	O
.	O
PREFERENCE	O
WILL	O
BE	O
GIVEN	O
TO	O
NATIONAL	GPE.SPECIAL
CONTRACTORS	O
FIRST	O
,	O
THEN	O
CONSORTIA	O
,	O
AND	O
FINALLY	O
TO	O
FOREIGN	O
CONTRACTORS	O
.	O
PROBABLY	O
ONLY	O
THE	LOC
SANCHON	LOC
RIVER	LOC
DAM	LOC
(CARACAS	LOC
12276)	O
,	O
THE	LOC
CHUSPITA	LOC
RIVER	LOC
DAM	LOC
(CARACAS	LOC
12277)	O
,	O
THE	LOC
TARIA	LOC
RIVER	LOC
DAM	LOC
(CARACAS	LOC
12278)	O
AND	O
THE	LOC
RICOA	LOC
-MACORUCA	LOC
DAMS	LOC
(CARACAS	LOC
12280)	O
WOULD	O
BE	O
OF	O
SUFFICIENT	O
SIZE	O
AND	O
COMPLEXITY	O
TO	O
REQUIRE	O
OR	O
ATTRACT	O
FOREIGN	O
PARTICIPATION	O
,	O
ACCORDING	O
TO	O
THIS	O
SOURCE	O
.	O
ARE	O
WE	OR.GOV
CORRECT	O
IN	O
ASSUMING	O
YOU	O
HAVE	O
PASSED	O
CARACAS	GPE.SPECIAL
	O
12279	O
RE	O
PUMPING	O
STATION	O
FOR	O
PAO	LOC
RIVER	LOC
DAM	LOC
AND	O
CARACAS	GPE.SPECIAL
	O
12215	O
RE	O
TUNNEL	O
BORING	O
EQUIPMENT	O
FOR	O
TACHIRA	LOC
WATER	LOC
TRANSFER	LOC
TUNNELS	LOC
TO	O
SIPS	ORG.GOV
FOR	O
FOLLOWUP	O
?	O
VAKY	PER.IND
