REFTEL	O
DESCRIBED	O
OUTLINES	O
OF	O
EMERGENCY	O
OIL	O
ALLOCA	O
-	O
TION	O
TEST	O
TO	O
BE	O
HELD	O
AT	O
IEA	ORG.MED
IN	O
OCTOBER	O
-NOVEMBER	O
AND	O
REQUESTED	O
MISSION	ORG.GOV
BE	O
READY	O
PROVIDE	O
NOTETAKERS	O
FROM	O
TIME	O
TO	O
TIME	O
AS	O
NECESSARY	O
TO	O
COVER	O
SUB	ORG.GOV
-GROUP	ORG.GOV
MEETINGS	O
OF	O
INDUSTRY	ORG.GOV
SUPPLY	ORG.GOV
ADVISORY	ORG.GOV
GROUP	ORG.GOV
.	O
REFTEL	O
ALSO	O
REQUESTED	O
ADDITIONAL	O
SECRETARIAL	O
SUPPORT	O
TO	O
MEET	O
UNUSUAL	O
PROBLEMS	O
IF	O
THEY	O
ARISE	O
.	O
AS	O
DEPARTMENT	ORG.GOV
AWARE	O
,	O
MISSION	ORG.GOV
HAS	O
ALREADY	O
ARRANGED	O
WITH	O
SECRETARIAT	ORG.GOV
FOR	O
LOGISTICAL	O
SUPPORT	O
TO	O
INCLUDE	O
OFFICE	O
SPACE	O
FOR	O
U	PER.GROUP
.S	PER.GROUP
.	PER.GROUP
DELEGATES	PER.GROUP
AND	O
ONE	O
SECRETARY	O
WITHIN	O
IEA	ORG.MED
PREMISES	O
.	O
MISSION	ORG.GOV
WILL	O
ALSO	O
ARRANGE	O
TO	O
HAVE	O
EMBASSY	ORG.GOV
TELEPHONE	O
EXTEHSIOH	O
INSTALLED	O
AS	O
REQUESTED	O
REFTEL	O
.	O
HOWEVER	O
,	O
AS	O
CONCERNS	O
NOTE	O
-TAKING	O
,	O
MISSION	ORG.GOV
WISHES	O
TO	O
CALL	O
ATTENTION	O
TO	O
FOLLOWING	O
CONSIDERATIONS	O
.	O
TEST	O
WILL	O
RUN	O
ON	O
12	O
HOUR	O
A	O
DAY	O
,	O
7	O
DAY	O
A	O
WEEK	O
BASIS	O
FOR	O
6	O
AND	O
POSSIBLY	O
8	O
WEEKS	O
.	O
SECRETARIAT	ORG.GOV
(HOPKINS	ORG.GOV
AND	ORG.GOV
KEMPERMANN	ORG.GOV
)	O
HAVE	O
URGED	O
THAT	O
U	GPE.NATION
.S	GPE.NATION
.	GPE.NATION
GUARANTEE	O
SUFFICIENT	O
MANPOWER	O
TO	O
ENSURE	O
THAT	O
ANY	O
MEETINGS	O
OF	O
ISAG	ORG.GOV
OR	O
SUB	O
-BODIES	O
ARE	O
NOT	O
DELAYED	O
AT	O
ANY	O
POINT	O
DURING	O
TEST	O
PERIOD	O
BECAUSE	O
OF	O
USG	GPE.NATION
INABILITY	O
TO	O
PROVIDE	O
SUFFICIENT	O
NOTETAKERS	O
.	O
HOPKINS	ORG.GOV
SAYS	O
SECRETARIAT	ORG.GOV
	O
ESTIMATE	O
IS	O
THAT	O
3	O
USG	GPE.NATION
OFFICIALS	O
AT	O
MINIMUM	O
,	O
WILL	O
NEED	O
BE	O
ON	O
CALL	O
FOR	O
NOTETAKING	O
THROUGH	O
-	O
OUT	O
8	O
WEEK	O
PERIOD	O
TO	O
PROVIDE	O
ADEQUATE	O
,	O
GUARANTEED	O
COVER	O
-	O
AGE	O
.	O
MISSION	ORG.GOV
WILL	O
BE	O
EXTREMELY	O
BUSY	O
THROUGHOUT	O
FALL	O
PEIOD	O
,	O
PARTICULARLY	O
WITH	O
CIEC	PER.GROUP
WORKING	O
TOWARDS	O
CONCLUSION	O
AND	O
THUS	O
,	O
CANNOT	O
GUARANTEE	O
AVAILABILITY	O
NOTE	O
-TAKERS	O
.	O
WE	ORG.GOV
RECOMMEND	O
DEPARTMENT	ORG.GOV
PLAN	O
COVER	O
THIS	O
REQUIREMENT	O
FROM	O
WASHINGTON	GPE.SPECIAL
.	O
TURNER	PER.IND
