ON	O
DEC	O
23	O
,	O
ITALY'S	ORG.GOV
CABINET	ORG.GOV
APPROVED	O
THE	O
LONG	O
-AWAITED	O
NOM	O
-	O
INATION	O
OF	O
CISL	PER.IND
SECGEN	PER.IND
BRUNO	PER.IND
STORTI	PER.IND
AS	O
PRESIDENT	PER.IND
OF	PER.IND
THE	PER.IND
TRI	PER.IND
-	PER.IND
PARTITE	PER.IND
NATIONAL	PER.IND
ECONOMIC	PER.IND
AND	PER.IND
LABOR	PER.IND
COUNCIL	PER.IND
(CNEL)	PER.IND
	O
.	O
STORTI'S	PER.IND
APPOINTMENT	O
BECOMES	O
EFFECTIVE	O
WHEN	O
SIGNED	O
BY	O
PRESIDENT	PER.IND
LEONE	PER.IND
AND	O
PUBLISHED	O
IN	O
THE	ORG.COM
GAZETTE	ORG.COM
.	O
STORTI	PER.IND
WILL	O
HOLD	O
A	O
PRESS	O
CON	O
-	O
FERENCE	O
JAN	O
5	O
,	O
PRESUMABLY	O
TO	O
MAKE	O
HIS	PER.IND
PREVIOUSLY	O
-ANNOUNCED	O
RETIREMENT	O
EFFECTIVE	O
.	O
CISL	PER.IND
DEPUTY	PER.IND
SECGEN	PER.IND
LUIGI	PER.IND
MACARIO	PER.IND
IS	O
EXPECTED	O
TO	O
ACT	O
AS	O
SECGEN	O
UNTIL	O
CISL'S	ORG.NGO
CONGRESS	O
IN	O
MAY	O
OR	O
JUNE	O
1977	O
.	O
PRESS	O
AND	O
PRIVATE	O
SPECULATION	O
IS	O
THAT	O
NO	O
NEW	O
INTERIM	O
DEPUTY	O
SECGEN	O
WILL	O
BE	O
NAMED	O
.	O
THE	O
CONFRONTATION	O
BETWEEN	O
MILITANTS	O
SUPPORT	O
-	O
ING	O
PIERRE	PER.IND
CARNITI	PER.IND
AND	O
MODERATES	O
SUPPORTING	O
FRANCO	PER.IND
MARINI	PER.IND
WILL	O
THUS	O
PROBABLY	O
BE	O
POSTPONED	O
UNTIL	O
THE	O
CONGRESS	O
.	O
THE	ORG.NGO
CISL	ORG.NGO
GEN	ORG.NGO
-	ORG.NGO
ERAL	ORG.NGO
COUNCIL	ORG.NGO
MEETING	O
JAN	O
13	O
-15	O
IS	O
EXPECTED	O
TO	O
SET	O
CONGRESS	O
DATES	O
AND	O
CONFIRM	O
INTERIM	O
ARRANGEMENTS	O
.	O
LEADERS	ORG.NGO
OF	ORG.NGO
ITALY'S	ORG.NGO
FEDERATION	ORG.NGO
OF	ORG.NGO
LABOR	ORG.NGO
CONFEDERATIONS	ORG.NGO
(CCU)	ORG.NGO
MET	O
WITH	O
ECONOMIC	O
EXPERTS	O
OF	O
MOST	O
PARTIES	O
LAST	O
WEEK	O
TO	O
DISCUSS	O
WHAT	O
TO	O
DO	O
ABOUT	O
ITALY'S	GPE.SPECIAL
ECONOMIC	O
AND	O
FINANCIAL	O
CRISIS	O
.	O
ALMOST	O
ALL	O
PARTIES	O
URGED	O
FURTHER	O
UNION	O
CONCESSIONS	O
ON	O
THE	O
COST	O
-OF	O
-LIVING	O
ESCALATOR	O
.	O
A	O
CCU	ORG.NGO
DELEGATION	ORG.NGO
ALSO	O
CON	O
-	O
TINUED	O
DISCUSSIONS	O
ABOUT	O
GOVERNMENT	null
PLANS	O
WITH	O
FINANCE	PER.IND
MIN	PER.IND
-	PER.IND
ISTER	PER.IND
PANDOLFI	PER.IND
AND	O
OTHER	O
OFFICIALS	O
.	O
THE	O
CCU	ORG.NGO
LEADER'S	ORG.NGO
NEXT	O
MEETING	O
WITH	O
PM	PER.IND
ANDREOTTI	PER.IND
HAS	O
BEEN	O
POSTPONED	O
FROM	O
DEC	O
29	O
TO	O
JAN	O
5	O
.	O
ON	O
DEC	O
29	O
,	O
THE	ORG.NGO
CCU	ORG.NGO
AND	O
GOI	null
OFFICIALS	null
WILL	O
NOW	O
HOLD	O
TECHNICAL	O
DISCUSSIONS	O
ABOUT	O
PUBLIC	O
INDUSTRY	O
INVESTMENT	O
AND	O
OTHER	O
SUBJECTS	O
.	O
THE	ORG.NGO
CCU	ORG.NGO
LEADERS	ORG.NGO
REPORTEDLY	O
PLAN	O
ANOTHER	O
MEET	O
-	O
ING	O
WITH	O
THE	O
PARTIES'	O
ECONOMIC	O
EXPERTS	O
BEFORE	O
THEY	ORG.NGO
FACE	O
THEIR	ORG.NGO
OWN	O
FOLLOWERS	O
AT	O
THE	O
JAN	O
7	O
-8	O
ASSEMBLY	ORG.NGO
OF	ORG.NGO
DELEGATES	ORG.NGO
OF	ORG.NGO
MEMBER	ORG.NGO
UNIONS	ORG.NGO
OF	ORG.NGO
THE	ORG.NGO
THREE	ORG.NGO
CONFEDERATIONS	ORG.NGO
	O
,	O
IN	O
ROME	GPE.SPECIAL
.	O
UIL	PER.IND
SECGEN	PER.IND
BEN	PER.IND
-	PER.IND
VENUTO	PER.IND
WILL	O
ADDRESS	O
THE	ORG.NGO
ASSEMBLY	ORG.NGO
ON	O
BEHALF	O
OF	O
THE	O
CCU	ORG.NGO
SECRE	ORG.NGO
-	ORG.NGO
TARIAT	ORG.NGO
.	O
THE	ORG.NGO
GENERAL	ORG.NGO
COUNCIL	ORG.NGO
OF	ORG.NGO
THE	ORG.NGO
ITALIAN	ORG.NGO
METALWORKERS'	ORG.NGO
FEDERA	ORG.NGO
-	ORG.NGO
TION	ORG.NGO
(FLM)	ORG.NGO
,	O
WHICH	O
