ONLY	O
DELEGATION	O
MENTIONED	O
IN	O
REFTEL	O
B	O
WILL	O
VISIT	O
INSTITUTE	ORG.GOV
FOR	ORG.GOV
HIGH	ORG.GOV
TEMPERATURES	ORG.GOV
IN	O
CONNECTION	O
WITH	O
DELIVERY	O
OF	O
SUPERCONDUCTING	O
MAGNET	O
TO	O
SOVIET	GPE.SPECIAL
U	O
-25	O
MHD	O
GENERATOR	O
.	O
DELEGATION	O
WILL	O
CONTACT	O
DAO	ORG.GOV
	O
RE	O
AIRLIFT	O
ARRANGEMENTS	O
FOR	O
TRANSPORTING	O
MAGNET	O
TO	O
USSR	GPE.SPECIAL
.	O
ERDA	ORG.GOV
HAS	O
INFORMED	O
DEPARTMENT	ORG.GOV
THAT	O
THE	O
FOLLOWING	O
IS	O
THE	O
STATUS	O
OF	O
ARRANGEMENTS	O
FOR	O
THE	O
SHIPMENT	O
OF	O
THE	O
U	O
-25	O
BY	O
-PASS	O
MAGNET	O
TO	O
THE	GPE.SPECIAL
USSR	GPE.SPECIAL
(INFORMATION	O
WAS	O
PASSED	O
ON	O
12/3	O
FROM	O
ARGONNE	ORG.GOV
NATIONAL	ORG.GOV
LABORATORY	ORG.GOV
TO	O
ERDA	ORG.GOV
HEADQUARTERS	ORG.GOV
):	O
SCOTT	LOC
AIR	LOC
FORCE	LOC
BASE	LOC
HAS	O
INFORMED	O
ARGONNE	ORG.GOV
LAB	ORG.GOV
THAT	O
THE	O
USE	O
OF	O
THE	O
C	O
-5	O
AIR	O
CRAFT	O
IS	O
FEASIBLE	O
AND	O
TRANSMITTED	O
THIS	O
SAME	O
MESSAGE	O
TO	O
THE	O
AIR	O
STAFF	O
IN	O
WASHINGTON	GPE.SPECIAL
WITH	O
TWO	O
QUALIFICA	O
-	O
TIONS:	O
1)	O
.	O
THE	O
LOADS	O
TRANSMITTED	O
TO	O
THE	O
AIR	O
CRAFT	O
MUST	O
BE	O
CHECKED	O
BY	O
ALC	ORG.GOV
.	O
2)	O
.	O
THE	O
METHOD	O
FOR	O
SECURING	O
THE	O
MAGNET	O
AND	O
THE	O
TRUCK	O
TO	O
THE	O
AIR	O
CRAFT	O
MUST	O
ALSO	O
BE	O
CHECKED	O
AND	O
THIS	O
WILL	O
BE	O
DONE	O
BY	O
AFD	ORG.GOV
.	O
AFD	ORG.GOV
(WRIGHT	LOC
-PATTERSON	LOC
AIR	LOC
FORCE	LOC
BASE	LOC
)	O
IS	O
PLANNING	O
TO	O
SEND	O
PERSONNEL	O
TO	O
ARGONNE	ORG.GOV
TO	O
GET	O
SPECIFIC	O
INFORMATION	O
ON	O
TRUCK	O
AND	O
MAGNET	O
WEIGHTS	O
AND	O
CONFIGURATIONS	O
.	O
AFTER	O
CARRYING	O
OUT	O
THESE	O
CHECKS	O
,	O
A	O
FEASIBILITY	O
REPORT	O
FOR	O
THE	O
TRANSPORT	O
OF	O
THE	O
MAGNET	O
BY	O
THE	O
C	O
-5	O
AIR	O
CRAFT	O
WILL	O
BE	O
PREPARED	O
BY	O
ALC	ORG.GOV
AND	O
AFD	ORG.GOV
.	O
THIS	O
IS	O
TO	O
BE	O
COMPLETED	O
BY	O
DECEMBER	O
15	O
.	O
BY	O
DECEMBER	O
20	O
,	O
SCOTT	LOC
AIR	LOC
FORCE	LOC
BASE	LOC
WILL	O
COMMUNICATE	O
TO	O
THE	O
AIR	O
STAFF	O
IN	O
WASHINGTON	GPE.SPECIAL
THE	O
DECISION	O
ON	O
THE	O
FEASIBILITY	O
OF	O
USING	O
THE	O
C	O
-5	O
AIR	O
CRAFT	O
FOR	O
TRANSPORTING	O
THE	O
MAGNET	O
.	O
DR	PER.IND
.	PER.IND
JACKSON	PER.IND
OF	PER.IND
ERDA	PER.IND
ESTIMATES	O
THAT	O
THE	O
MAGNET	O
WILL	O
NOT	O
BE	O
READY	O
FOR	O
SHIPPING	O
UNTIL	O
APPROXIMATELY	O
APRIL	O
30	O
.	O
KISSINGER	PER.IND
