THE	null
GOVERNMENT	null
OF	null
THE	null
PEOPLE'S	null
REPUBLIC	null
OF	null
BENIN	null
(GPRB)	null
HAS	O
A	O
PRODIGAL	O
LITTLE	O
BROTHER	O
RELATIONSHIP	O
WITH	O
ITS	O
NEIGHBOR	O
NIGERIA	null
.	O
IT	null
HAS	O
NEVER	O
OPENLY	O
CHALLANGED	O
OR	O
OPPOSED	O
THE	null
FEDERAL	null
MILITARY	null
GOVERNMENT	null
,	O
INDEED	O
GPRB	null
PRAISE	O
OF	O
THE	null
FMG	null
IS	O
EFFUSIVE	O
AT	O
TIMES	O
,	O
BUT	O
IT	O
IS	O
CLEAR	O
THAT	O
IDEOLOGICAL	O
DIFFER	O
-	O
ENCES	O
AND	O
BENINESE	null
WORRIES	O
ABOUT	O
ITS	null
NATIONAL	O
SOVEREIGNTY	O
CLOUD	O
THE	O
RELATIONSHIP	O
.	O
NIGERIA	null
TENDS	O
TO	O
FOLLOW	O
A	O
POLICY	O
OF	O
"BENIGN	O
NEGLECT"	O
IN	O
DEALING	O
WITH	O
BENIN	null
,	O
AND	O
IN	O
GENERAL	O
CONCENTRATES	O
ITS	null
DIPLOMATIC	O
EFFORTS	O
ON	O
MATTERS	O
OF	O
SPECIFIC	O
INTEREST:	O
TRANSIT	O
TRADE	O
TO	O
NIGERIA	null
THROUGH	O
BENIN	null
AND	O
FROM	O
THE	null
COTONOU	null
PORT	null
,	O
SUGAR	O
AND	O
CEMENT	O
PROJECTS	O
IN	O
BENIN	null
FOR	O
FUTURE	O
EXPORT	O
TO	O
NIGERIA	null
,	O
POLICE	O
COOPERATION	O
FOR	O
PURSUIT	O
OF	O
NIGERIAN	null
CRIMINALS	O
FLEEING	O
INTO	O
BENIN	null
.	O
SENIOR	null
RESIDENT	null
NIGERIAN	null
DIPLOMATS	null
USUALLY	O
ADOPT	O
A	O
"PROCONSUL"	O
ATTITUDE	O
TOWARD	O
BENIN	null
,	O
VIEWING	O
IT	null
AS	O
FRANCOPHONE	O
PROVICE	O
OF	O
NIGERIA	null
,	O
AND	O
TEND	O
TO	O
DISREGARD	O
BENINESE	null
POLICIES	O
AND	O
POLITICS	O
AS	O
OF	O
LITTLE	O
CONSEQUENCE	O
.	O
BECAUSE	O
OF	O
THE	O
PROXIMITY	O
OF	O
COTONOU	null
TO	O
THE	O
BORDER	O
,	O
NIGERIAN	null
AMBASSADORS	null
OFTEN	O
SEEM	O
TO	O
BE	O
ACTUALLY	O
RESIDENT	O
IN	O
LAGOS	null
.	O
TRIBALISM	O
PLAYS	O
AN	O
UNDERLYING	O
ROLE	O
IN	O
BENINESE	null
-NIGERIAN	null
DIFFERENCES	O
.	O
ALTHOUGH	O
PRESIDENT	null
KEREKOU	null
IS	O
A	O
SOMBA	null
,	O
ONE	O
OF	O
THE	O
MANY	O
VOLTAIQUE	null
TRIBES	null
OF	O
NORTHWESTERN	O
BENIN	null
,	O
THE	O
DOMINANT	O
GROUP	O
IN	O
BENINESE	null
CIVIL	null
SERVICE	null
AND	null
OFFICER	null
CORPS	null
REMAINS	O
THE	null
FON	null
.	O
FON	null
-YORUBA	null
TRIBAL	O
HATRED	O
STRETCHES	O
BACK	O
TO	O
THE	O
WARS	O
OF	O
THE	O
SIXTEENTH	O
CENTURY	O
.	O
DURING	O
BENIN'S	null
MANY	O
POLITICAL	O
CRISES	O
OF	O
THE	O
1960'S	O
,	O
THE	O
POSSIBILITY	O
OF	O
NIGERIAN	null
ANNEXATION	O
OF	O
BENIN'S	null
PREDOMINANTLY	O
YORUBA	null
OUEME	null
PROVINCE	null
WAS	O
ENCOURAGED	O
BY	O
REGIONAL	null
LEADERS	null
.	O
SIMILAR	O
TRIBAL	O
PROBLEMS	O
EXIST	O
BETWEEN	O
THE	null
FON	null
AND	O
BARIBA	null
OF	O
THE	O
NORTHEAST	O
,	O
WHOSE	O
AREA	O
EXTENDS	O
INTO	O
NIGERIA	null
.	O
THE	O
GPRB	null
