502	O
/DAMASCUS	null
/	O
T	O
-89	O
JULY	O
22	O
,	O
1977	O
MICHAEL	PER.IND
DAVIS	PER.IND
502	O
SYRIA	null
N	O
HAMA	ORG.GOV
POULTRY	ORG.GOV
INSTITUTION	ORG.GOV
,	O
HAMA	null
9228	O
SEPTEMBER	O
5	O
,	O
1977	O
201	O
-FOREIGN	O
GOVERNMENT	O
TENDER	O
SIC	O
35230	O
SUPPLY	O
OF	O
EQUIPMENT	O
FOR	O
FOUR	O
LAYER	O
HOUSES	O
,	O
BATTERIES	O
IN	O
CLOSED	O
SYSTEM	O
,	O
AND	O
EGG	O
GRADING	O
AND	O
PACKING	O
MACHINE	O
.	O
BID	O
AND	O
DINAL	O
BONDS	O
FIVE	O
PERCENT	O
TENDER	O
PRICE	O
AND	O
TEN	O
PERCENT	O
CONTRACT	O
PRICE	O
.	O
DELIVERY	O
WITHIN	O
85	O
DAYS	O
FROM	O
L/C	O
OPENING	O
AND	O
OFFER	O
VALID	O
FOR	O
40	O
DAYS	O
AFTER	O
DEADLINE	O
.	O
FURTHER	O
DETAILS	O
OPBAINABLE	O
FROM	O
GENERAL	ORG.GOV
ORGANIZATION	ORG.GOV
OF	ORG.GOV
POULTRY	ORG.GOV
,	O
DAMASCUS	null
	O
,	O
OR	O
HAMA	ORG.GOV
POULTRY	ORG.GOV
INSTITUTION	ORG.GOV
,	O
HAMA	null
.	O
PAYMENT	O
TERMS:	O
BY	O
L/C	O
PLEASE	O
NOTIFY	O
THE	O
FOLLOWI	O
LSCYIHBO	O
POTZJ	O
EWNESSED	O
INTEREST	O
IN	O
SUCH	O
TENDERS:	O
GAMCO	ORG.COM
SGAINSVILLE	ORG.COM
MACHINE	ORG.COM
COMPANY	ORG.COM
,	ORG.COM
INC	ORG.COM
.	ORG.COM
AIRPORT	O
PARKWAY	O
,	O
P	O
.O	O
.	O
BOX	O
1258	O
,	O
GAINSVILLE	GPE.NATION
,	GPE.NATION
GEORGIA	GPE.NATION
30501	O
.	O
MURPHY	PER.IND
