O
.	O
TURKEY	null
	O
.	O
CNTRY	null
CODE	null
:	O
489	O
	O
.	O
SER	null
.	null
NO	null
.	null
0089100	O
	O
.	O
TAMAN	null
TICARET	null
KOLLEKTIF	null
STI	null
.	null
YILMAZ	null
YAMAN	null
VE	null
OGULLARI	null
	O
.	O
P	null
O	null
B	null
:	null
NA	null
	O
;	O
LAMARTIN	null
CAD	null
	O
.	O
57	O
/	O
A	null
	O
,	O
TAKSIM	null
	O
.	O
ISTANBUL	null
	O
,	O
TURKEY	null
	O
.	O
ESTABL	null
:	O
1960	O
	O
.	O
EMPL	null
:	O
20	O
	O
.	O
SIZE	null
:	O
(	null
20	null
-	null
X	null
)	null
MEDIUM	null
	O
.	O
REPUTATION	null
:	O
(	O
22	null
-	null
X	null
)	O
GOOD	O
	O
.	O
SELLS	null
TROUGHOUT	null
TURKEY	null
	O
.	O
RPT	null
DATE	null
:	null
06	null
/	O
77	O
/	O
53	null
IMP	null
	O
.	O
WHOLESALE	null
AUTOMOBILE	null
PARTS	null
	O
.	O
CONTACT	null
:	O
YILMAZ	null
YAMAN	null
TITLE	null
:	O
PARTNER	O
	O
.	O
CABLE	null
:	O
YAMAN	null
	O
-	O
ISTANBUL	null
	O
.	O
TELEX	null
:	O
NA	O
	O
.	O
TEL	null
	O
.	O
454511	O
,	O
444486	O
	O
.	O
FINANCIAL	null
REFS	null
:	O
YAPI	null
VE	null
KREDI	null
BANKASI	null
	O
,	O
BEYOGLU	null
	O
,	O
ISTANBUL	null
	O
;	O
TURK	null
TICARET	null
BANKASI	null
	O
,	O
TARLABASI	null
,	null
ISTANBUL	null
:	O
AKBANK	null
,	null
TALIMHANE	null
	O
,	O
ISTANBUL	null
	O
,	O
TURKIYE	null
IS	O
BANKASI	null
	O
,	O
TAKSIM	null
	O
,	O
ISTANBUL	null
	O
.	O
	O
.	O
TRADE	null
REFS	null
:	O
SEALED	null
POWER	null
CORP	null
.	null
	O
,	O
2001	null
SANFORD	null
,	null
MUSKEGAN	null
	O
,	O
MICH	null
.49443	null
	O
;	O
GEON	null
INTER	null
CORP	null
.	null
	O
,	O
111	null
CROSSWAYS	null
PARK	null
WEST	null
	O
,	O
P	null
O	null
B	null
1000	null
	O
,	O
WOODBURN	null
	O
,	O
NY	null
11797	null
	O
;	O
TREO	null
AUTOMOTIVE	null
EXPORT	null
CO	null
,	null
INC	null
.	null
	O
,	O
140	null
KING	null
ST	null
.N	null
BROOKLYN	null
	O
,	O
NY	null
11231	null
	O
.	O
.	O
	O
.	O
FOREIGN	null
FIRMS	null
REPRESNTED	O
:	O
NA	O
	O
.	O
MEDIUM	null
SIZE	null
LONG	O
ESTABLISHED	O
,	O
FAMILY	null
OWNED	O
CONCERN	null
IS	O
IMPORTER	null
AND	null
WHOLESALER	null
OF	O
AUTOMOTIVE	null
SPARE	null
PARTS	null
	O
.	O
OFFICE	null
AND	null
WAREHOUSE	null
FACILITIES	null
LOCATED	null
IN	null
TAKSIM	null
	O
,	O
AN	null
ISTANBUL	null
AUTOMOTIVE	null
PARTS	null
TRADING	O
CENTER	null
	O
.	O
REGISTERED	null
CAPITAL	null
REPORTEDLY	null
TL500	null
,000	null
(	O
TL	null
17	null
.50	null
	O
-	O
$	O
1	O
)	O
AND	O
1976	null
SALES	null
APPROX	O
$	O
650	O
,000	O
.	O
FIRM	null
IS	O
MANAGED	O
BY	O
YILMAZ	null
YAMAN	null
WHO	O
IS	O
CONSIDERED	O
A	null
CAPABLE	null
BUSINESSMAN	null
	O
.	O
BANKS	null
GIVE	O
FIRM	null
GOOD	null
CREDIT	null
RATING	null
	O
.	O
RECOMMENDED	O
AS	O
A	null
TRACE	null
CONTACT	null
	O
.	O
	O
.	O
PREPARED	O
BY	O
E	null
.	null
OMER	null
:	O
APPROVED	O
BY	O
R	null
W	null
BECKHAM	null
	O
;	O
AT	O
:	O
U	null
S	null
CONSULATE	null
GENERAL	null
	O
,	O
ISTANBUL	null
	O
.	O
OGDEN	null
