SUMMARY:	O
THE	GPE.NATION
SOVIETS	GPE.NATION
HAV	O
ADOPTED	O
A	O
"WAIT	O
AND	O
SEE"	O
ATTITUDE	O
TOWARD	O
PAKISTAN	GPE.NATION
	O
.	O
OUR	ORG.GOV
SOVIET	GPE.NATION
CONTACTS	O
STATE	O
SITUATION	O
AT	O
PRESENT	O
IS	O
UNPREDICTABLE	O
;	O
OUTLOOK	O
FOR	O
STABILITY	O
IN	O
AT	O
LEAST	O
NEAR	O
TERM	O
IS	O
POOR	O
;	O
ZIA'S	PER.IND
POSITION	O
WITHIN	O
THE	ORG.GOV
MILITARY	ORG.GOV
IS	O
NOT	O
ASSURED	O
;	O
THE	GPE.NATION
SOVIETS	GPE.NATION
DESIRE	O
"STABILITY"	O
AND	O
NOT	O
TURBULENCE	O
IN	O
SOUTH	LOC
ASIA	LOC
AS	O
EVIDENCED	O
BY	O
SOVIET	GPE.NATION
TASHKENT	GPE.SPECIAL
DIPLOMACY	O
AND	O
ENCOURAGEMENT	O
OF	O
"NORMALIZATION"	O
OF	O
RELATIONS	O
AMONG	O
SOUTH	LOC
ASIAN	LOC
NATIONS	LOC
.	O
IT	O
AP	O
-	O
PEARS	O
THAT	O
MOSCOW	GPE.NATION
STILL	O
PREFERS	O
BHUTTO	PER.IND
BUT	O
HAS	O
DECIDED	O
NOT	O
TO	O
BURN	O
ITS	GPE.NATION
BRIDGES	O
WITH	O
THE	ORG.GOV
MILITARY	ORG.GOV
WITH	O
WHICH	O
IT	GPE.NATION
MAY	O
HAVE	O
TO	O
DEAL	O
IN	O
THE	O
FUTURE	O
.	O
END	O
SUMMARY	O
.	O
SOVIET	GPE.SPECIAL
PRESS	O
COVERAGE:	O
IN	O
THE	O
MONTHS	O
PRECEDING	O
BHUTTO'S	PER.IND
MOST	O
RECENT	O
ARREST	O
AND	O
THE	O
ELECTION	O
POSTPONEMENT	O
ANNOUNCEMENTS	O
SOVIET	GPE.SPECIAL
	O
MEDIA	O
COVERAGE	O
MAINTAINED	O
A	O
ROUGH	O
BALANCE	O
IN	O
CONCERN	O
OVER	O
BHUTTO	PER.IND
	O
ON	O
THE	O
ONE	O
HAND	O
AND	O
TOWARD	O
THE	ORG.GOV
MILITARY	ORG.GOV
ON	O
THE	O
OTHER	O
.	O
STILL	O
,	O
REPORTS	O
HELD	O
THAT	O
"THE	O
PERIODS	O
OF	O
CIVILIAN	O
RULE	O
WERE	O
MOST	O
FAVORABLE	O
AND	O
FRUITFUL	O
FOR	O
PAKISTAN	GPE.SPECIAL
,	O
"AND	O
FOCUSED	O
ON	O
THE	O
"GAINS	O
,"	O
DURING	O
THE	O
BHUTTO	PER.IND
YEARS	O
,	O
IN	O
DOMESTIC	O
POLICY	O
(GROWTH	O
OF	O
PUBLIC	O
SECTOR)	O
AND	O
FOREIGN	O
POLICY	O
(WITHDRAWAL	O
FROM	O
SEATO	ORG.MED
,	O
DOWNGRADING	O
CENTO	ORG.MED
,	O
"NORMALIZATION"	O
OFRRELATIONS	O
IN	O
THE	LOC
SUBCONTINENT	LOC
)	O
.	O
FOL	O
-	O
LOWING	O
BHUTTO'S	PER.IND
ARREST	O
,	O
