INTRO	O
AND	O
SUMMARY	O
.	O
IN	O
COURSE	O
OF	O
PAST	O
48	O
HOURS	O
,	O
A	O
NUMBER	O
OF	O
EMPLOYEES	PER.GROUP
OF	O
RL	null
RUSSIAN	null
SERVICE	null
HAVE	O
RECEIVED	O
COPIES	O
OF	O
AN	O
ANONYMOUS	O
RUSSIAN	GPE.SPECIAL
-LANGUAGE	O
LETTER	O
WHICH	O
CLEARLY	O
SEEMS	O
TO	O
BE	O
DESIGNED	O
TO	O
EXACERBATE	O
EXISTING	O
ANIMOSITIES	O
BETWEEN	O
STATION'S	null
OLDER	O
AND	O
NEWER	O
RUSSIAN	PER.GROUP
-EMIGRE	PER.GROUP
EMPLOYEES	PER.GROUP
.	O
THE	PER.GROUP
EMPLOYEES'	PER.GROUP
INITIAL	O
REACTION	O
TO	O
LETTER	O
SEEMS	O
REASONABLY	O
RESTRAINED	O
.	O
THERE	O
IS	O
,	O
HOWEVER	O
,	O
SOME	O
POSSIBILITY	O
THAT	O
TEXT	O
OF	O
LETTER	O
COULD	O
BE	O
BROUGHT	O
TO	O
ATTENTION	O
OF	O
NEWS	O
MEDIA	O
OR	O
OTHER	O
OUTSIDE	O
INSTITUTIONS	O
IN	O
MANNER	O
WHICH	O
COULD	O
HAVE	O
UNFAVORABLE	O
REPERCUSSIONS	O
FOR	O
RFE/RL	null
.	O
END	O
SUMMARY	O
.	O
FOLLOWING	O
IS	O
INFORMAL	O
TRANSLATION	O
OF	O
TEXT	O
OF	O
RUSSIAN	GPE.SPECIAL
-LANGUAGE	O
LETTER	O
WHICH	O
WAS	O
SENT	O
VIA	O
LOCAL	O
FRG	GPE.SPECIAL
MAIL	O
TO	O
AN	O
AS	O
YET	O
UNDERTERMINED	O
NUMBER	O
OF	O
RL	PER.GROUP
RUSSIAN	PER.GROUP
SERVICE	PER.GROUP
EMPLOYEES	PER.GROUP
,	O
SOME	O
OF	O
WHOM	O
ARE	O
JEWS	PER.GROUP
WHO	O
WERE	O
PART	O
OF	O
"THIRD	O
EMIGRATION	O
."	O
BEGIN	O
TRANSLATION:	O
THE	O
PREVAILING	O
ATMOSPHERE	O
AT	O
THE	null
STATION	null
SEEMS	O
TO	O
REFLECT	O
A	O
WELL	O
-PLANNED	O
EFFORT	O
BY	O
THE	PER.GROUP
FEDOSEEYEVS	PER.GROUP
,	O
WHO	O
ARE	O
KGB	ORG.GOV
AGENTS	ORG.GOV
,	O
TO	O
STIR	O
UP	O
ANTI	O
-RUSSIAN	PER.GROUP
SENTIMENTS	O
.	O
THE	O
WHOLE	O
RUSSIAN	null
SERVICE	null
IS	O
SUFFERING	O
FROM	O
FEVER	O
AND	O
AN	O
ATMOSPHERE	O
OF	O
NERVOUSNESS	O
AND	O
EXHAUSTION	O
PREVAILS	O
.	O
WHAT	O
HAS	O
THE	O
"THIRD	O
WAVE"	O
OF	O
THE	O
EMIGRATION	O
WASHED	O
UP	O
ON	O
TO	O
THE	O
BANKS	O
OF	O
RL	null
?	O
VARIOUS	O
KINDS	O
OF	O
GARBAGE	O
SUCH	O
AS	O
THE	O
PLAGIARIZER	O
MAY	O
,	O
THE	PER.IND
KGB	PER.IND
AGENT	PER.IND
(CHEKHIST)	PER.IND
MATUSOVICH	PER.IND
(SIC)	O
,	O
THE	PER.GROUP
PROSTITUTES	PER.GROUP
BELOTSERKOVSKY	PER.GROUP
AND	PER.GROUP
LOVETSKAYA	PER.GROUP
,	O
THE	PER.IND
PROVOCATEUR	PER.IND
ROITMAN	PER.IND
,	O
AND	O
THE	PER.IND
WOMANIZER	PER.IND
GALICH	PER.IND
,	O
WHO	O
HAD	O
HIS	PER.IND
OWN	O
WIFE	O
SHUT	O
UP	O
IN	O
A	O
NUTHOUSE	O
.	O
WHAT	O
HAVE	O
THESE	O
PEOPLE	O
GIVEN	O
US	O
BUT	O
SLANDER	O
AND	O
PROVOCATIONS	O
WHICH	O
HAVE	O
DISTURBED	O
THE	O
WORKING	O
ATMOSPHERE	O
AT	O
RL	null
*	O
THE	O
NEWLY	O
ARRIVED	O
LEADERS	O
OF	O
RL	null
ARE	O
NOT	O
DOING	O
ANYTHING	O
TO	O
PREVENT	O
THE	O
CAMPAIGN	O
OF	O
WHOLESALE	O
SLANDER	O
DIRECTED	O
AT	O
EMPLOYEES	PER.GROUP
OF	O
LONG	O
STANDING	O
.	O
THE	O
LEADERSHIP	O
COMPOSES	O
MEMORANDA	O
DESIGNED	O
TO	O
CALM	O
THE	O
SITUATION	O
INSTEAD	O
OF	O
RESTRAINING	O
THE	O
RUSSOPHOBES	O
AND	O
RESTORING	O
NORMAL	O
WORKING	O
ATMOSPHERE	O
AT	O
THE	null
STATION	null
.	O
ENOUGH*	O
THE	O
TIME	O
FOR	O
COOPERATION	O
AND	O
APPEASEMENT	O
IS	O
PAST*	O
WE	PER.GROUP
	O
WILL	O
ANSWER	O
THE	O
BLACKMAIL	O
OF	O
THE	PER.IND
MATUSEVICHES	PER.IND
,	O
LODEESENS	PER.GROUP
AND	O
FEDOSEEYEVS	PER.GROUP
