FIGHTING	O
ALONG	O
TRADITIONAL	O
CONFRONTATION	O
LINE	O
BETWEEN	O
AYN	null
AR	null
-RUMANNAH	null
AND	O
SHIYAH	null
,	O
WHICH	O
HAD	O
BROKEN	O
OUT	O
APRIL	O
9	O
AND	O
DIED	O
DOWN	O
MORNING	O
APRIL	O
10	O
,	O
RESUMED	O
AFTERNOON	O
APRIL	O
10	O
AND	O
IS	O
CONTINUING	O
AT	O
THIS	O
TIME	O
.	O
EMBOFFS	null
AND	O
MARINE	null
SECURITY	null
GUARDS	null
HAVE	O
OBSERVED	O
CONSIDERABLE	O
RIFLE	O
AND	O
AUTOMATIC	O
WEAPONS	O
FIRE	O
AS	O
WELL	O
AS	O
INTERMITTENT	O
ARTILLERY	O
AND	O
TANK	O
FIRE	O
THROUGHOUT	O
DAY	O
.	O
ON	O
APRIL	O
10	O
ADF	null
HAD	O
ISSUED	O
ORDERS	O
TO	O
"SHOOT	O
ON	O
SIGHT"	O
ANY	null
ARMED	null
MEN	null
SEEN	O
IN	O
AREA	O
.	O
AFTERNOON	O
OF	O
APRIL	O
11	O
SYRIANS	null
MOVED	O
ARMORED	null
TANK	null
BATTALION	null
INTO	O
AREA	O
AND	O
BEGAN	O
ENGAGING	O
BOTH	O
CHRISTIANS	null
AND	O
LEBANESE	null
LEFTISTS	null
.	O
(WE	null
HAVE	O
NO	O
EVIDENCE	O
SO	O
FAR	O
OF	O
PALESTINIAN	null
PARTICIPATION	O
.	O
EMBASSY	null
LOCAL	null
EMPLOYEE	null
HELD	O
UP	O
BY	O
GUNMEN	null
IN	O
AREA	O
ON	O
APRIL	O
10	O
NOW	O
SAYS	O
THEY	null
WERE	O
LEBANESE	O
SHIA	null
,	O
NOT	O
PALESTINIANS	null
.	O
SEE	O
BEIRUT	null
2011)	O
.	O
EMBOFFS	null
OBSERVED	O
ARMED	null
MILITIA	null
THROUGHOUT	O
CHRISTIAN	null
SUBURB	O
OF	O
FURN	null
ASH	null
SHUBBAK	null
AS	O
WELL	O
AS	O
TWO	null
ARMED	null
LEBANESE	null
LEFTIST	null
MILITIA	null
IN	O
CORNICHE	null
MAZRA	null
AREA	O
.	O
ELSEWHERE	O
,	O
HOWEVER	O
,	O
LIFE	O
IN	O
CITY	null
APPEARED	O
NORMAL	O
.	O
TRAFFIC	O
IN	O
ASHRAFIYAH	null
AND	O
ACROSS	O
CITY	null
ON	O
CHEHAB	null
EXPRESSWAY	null
,	O
FOR	O
EXAMPLE	O
,	O
IS	O
NORMAL	O
.	O
NLP	null
SOURCES	null
CLAIM	O
THAT	O
DANY	null
CHAMOUN	null
APRIL	O
10	O
MADE	O
AGREEMENT	O
WITH	O
LOCAL	null
SYRIAN	null
COMMANDERS	null
TO	O
FACILITATE	O
THEIR	null
ENTRY	O
INTO	O
AREA	null
AND	O
THAT	O
HIS	null
PARTY	null
IS	O
COOPERATING	O
WITH	O
SYRIANS	null
,	O
WHO	O
ARE	O
BEING	O
FIRED	O
ON	O
BY	O
KATAEB	null
.	O
RELIABLE	null
LEBANESE	null
JOURNALIST	null
,	O
HOWEVER	O
,	O
TELLS	O
US	null
SYRIANS	null
ARE	O
EXCHANGING	O
FIRE	O
WITH	O
NLP	null
AS	O
WELL	O
AS	O
LEFTISTS	null
.	O
CAUSE	O
OF	O
ORIGINAL	O
APRIL	O
9	O
INCIDENT	O
REMAINS	O
OBSCURE	O
.	O
NUMEROUS	O
THEORIES	O
HAVE	O
BEEN	O
ADVANCED	O
,	O
FROM	O
PERSONAL	O
QUARREL	O
,	O
TO	O
KIDNAPPING	O
,	O
TO	O
SYRIAN	null
PLOT	O
DESIGNED	O
TO	O
GIVE	O
ADF	null
PRETEXT	O
FOR	O
WIPING	O
OUT	O
MILITIA	null
.	O
FIGHTING	O
APRIL	O
9	O
AND	O
10	O
RESULTED	O
IN	O
AT	O
LEAST	O
SEVEN	null
PEOPLE	null
KILLED	null
,	O
INCLUDING	O
ONE	null
SUDANESE	null
ADF	null
SOLDIER	null
,	O
AND	O
27	null
PEOPLE	null
WOUNDED	null
,	O
ACCORDING	O
TO	O
INDEPENDENT	O
AN	null
NAHAR	null
APRIL	O
11	O
.)	O
PALESTINIAN	null
LEADERSHIP	null
DOES	O
NOT	O
APPEAR	O
ANXIOUS	O
TO	O
EXPLOIT	O
SITUATION	O
.	O
ARTICLE	O
IN	O
[[PLOPAPERFALASTINA
