THE	O
ROUTINE	O
REVIEW	O
OF	O
THE	O
JUNE	O
4	O
ELECTION	O
RESULTS	O
(REF	O
A)	O
WHICH	O
SHOWED	O
LIBERAL	PER.IND
CANDIDATE	PER.IND
TURBAY	PER.IND
	O
LEADING	O
HIS	PER.IND
CONSERVATIVE	PER.IND
OPPONENT	PER.IND
BY	O
NEARLY	O
140	O
,000	O
VOTES	O
,	O
IS	O
BEING	O
CARRIED	O
OUT	O
PEACE	O
-	O
FULLY	O
AT	O
THE	O
VOTING	O
DISTRICT	O
LEVEL	O
.	O
THIS	O
FIRST	O
STAGE	O
OF	O
THE	O
PRESCRIBED	O
REVIEW	O
IS	O
NOT	O
EXPECTED	O
TO	O
BE	O
COMPLETED	O
UNTIL	O
JUNE	O
14	O
OR	O
15	O
.	O
SO	O
FAR	O
,	O
THE	O
RESULTS	O
IN	O
SEVERAL	O
DISTRICTS	O
HAVE	O
BEEN	O
CHAL	O
-	O
LENGED	O
BY	O
BOTH	O
LIBERALS	O
AND	O
CONSERVATIVES	O
,	O
BUT	O
NO	O
SIGNIFICANT	O
CHANGE	O
IN	O
THE	O
FINAL	O
RESULT	O
IS	O
EXPECTED	O
.	O
HIGH	O
-LEVEL	O
OFFICIALS	O
OF	O
BOTH	O
MAJOR	O
PARTIES	O
HAVE	O
INDICATED	O
PRIVATELY	O
TO	O
EMBASSY	ORG.GOV
OFFICERS	ORG.GOV
THAT	O
THEIR	O
PARTY	O
MEMBERS	O
WILL	O
HONOR	O
THE	O
DECISION	O
OF	O
THE	O
ELECTORAL	O
COURT	O
WHICH	O
WILL	O
DECLARE	O
THE	O
VICTOR	O
.	O
TURBAY	PER.IND
	O
CON	O
-	O
TINUES	O
TO	O
MAKE	O
CONCILIATORY	O
STATEMENTS	O
,	O
IMPLYING	O
THAT	O
HE	PER.IND
WILL	O
INVITE	O
A	O
SIZEABLE	O
CONSERVATIVE	O
PARTICIPATION	O
-FROM	O
BOTH	O
OF	O
THAT	O
PARTY'S	O
FACTIONS	O
-IN	O
HIS	PER.IND
GOVERNMENT	O
.	O
BETANCUR	PER.IND
	O
,	O
VACATION	O
-	O
ING	O
IN	O
CARTAGENA	GPE.SPECIAL
,	O
HAS	O
MADE	O
NO	O
OTHER	O
PUBLIC	O
STATEMENTS	O
SINCE	O
URGING	O
HIS	PER.IND
SUPPORTERS	O
TO	O
FOLLOW	O
THE	O
ELECTION	O
REVIEW	O
CLOSELY	O
(REF	O
B)	O
.	O
"COMMENT:	O
THE	O
TEMPERATE	O
ATTITUDES	O
OF	O
THE	O
TWO	O
MAJOR	O
CANDIDATES	O
ARE	O
REFLECTED	O
IN	O
THE	O
CALMNESS	O
WITH	O
WHICH	O
COLOMBIANS	GPE.SPECIAL
	O
IN	O
GENERAL	O
ARE	O
AWAITING	O
THE	O
COMPLETION	O
OF	O
THE	O
ELECTORAL	O
PROCESS	O
."	O
DREXLER	PER.IND
