THE	null
CONSULATE	null
	O
HAS	O
OBTAINED	O
A	O
COPY	O
OF	O
THE	O
CONFIDENTIAL	O
MINUTES	O
OF	O
THE	O
AUGUST	O
26	O
MEETING	O
IN	O
LAGOS	GPE.SPECIAL
WHICH	O
LAUNCHED	O
THE	O
NATIONAL	O
MOVEMENT	O
-	O
-	O
NOW	O
THE	ORG.NGO
NATIONAL	ORG.NGO
PARTY	ORG.NGO
OF	ORG.NGO
NIGERIA	ORG.NGO
(NPN	ORG.NGO
)	O
.	O
REVIEWING	O
THE	O
MINUTES	O
ONE	O
CONCLUDES	O
THE	O
MEETING	O
MUST	O
HAVE	O
RESEMBLED	O
THE	O
CHAOS	O
AT	O
THE	O
CHECK	O
-IN	O
COUNTER	O
AT	O
THE	O
DOMESTIC	O
TERMINAL	O
IN	O
LAGOS	GPE.SPECIAL
.	O
SOME	O
PRESENT	O
OBJECTED	O
BECAUSE	O
THEY	O
"REALLY	O
DID	O
NOT	O
KNOW	O
WHY	O
THEY	O
WERE	O
AT	O
THE	O
MEETING"	O
AND	O
EVERYONE	O
WAS	O
APPARENTLY	O
BUSY	O
QUESTIONING	O
EVERYONE	O
ELSE'S	O
CREDENTIALS	O
.	O
THE	O
INITIAL	O
MEETING	O
FINALLY	O
RECESSED	O
FOR	O
30	O
MINUTES	O
TO	O
ALLOW	O
MEMBERS	O
TO	O
SORT	O
THINGS	O
OUT	O
.	O
EVEN	O
AFTER	O
RECONVENING	O
THERE	O
WERE	O
FOUR	O
SEPARATE	O
LISTS	O
OF	O
REPRESENTATIVES	O
FROM	O
IMO	LOC
AND	O
TWO	O
FROM	O
ANAMBRA	LOC
*	O
THE	O
NORTHERN	O
FLAVOR	O
OF	O
THE	O
MEETING	O
WAS	O
QUITE	O
APPARENT	O
FROM	O
THE	O
INTRODUCTORY	O
STATEMENTS	O
BY	O
THE	O
CHAIRMAN	O
,	O
"THIS	O
MEETING	O
IS	O
THE	O
CULMINATION	O
OF	O
A	O
LONG	O
PROCESS	O
WHICH	O
BEGAN	O
WITH	O
THE	O
DECISION	O
OF	O
ALL	O
FORMER	O
POLITICAL	O
PARTIES	O
IN	O
THE	O
FORMER	O
NORTHERN	O
REGION	O
TO	O
DISOLVE	O
AND	O
WORK	O
TOGETHER	O
FOR	O
THE	O
NATIONAL	O
INTEREST	O
.	O
.	O
."	O
TO	O
THE	O
PRESENTATION	O
OF	O
WORKING	O
PAPERS	O
FROM	O
THE	O
"THE	ORG.NGO
STEERING	ORG.NGO
COMMITTEE	ORG.NGO
OF	ORG.NGO
THE	ORG.NGO
GENERAL	ORG.NGO
MEETING	ORG.NGO
OF	ORG.NGO
THE	ORG.NGO
NORTHERN	ORG.NGO
STATES	ORG.NGO
"	O
.	O
WE	null
	O
ARE	O
POUCHING	O
TEXT	O
OF	O
MINUTES	O
UNDER	O
COVER	O
OF	O
AN	O
AIRGRAM	O
.	O
WE	null
CONCLUDE	O
FROM	O
OUR	null
REVIEW	O
OF	O
THE	O
MINUTES	O
THAT	O
WAZIRI	PER.IND
IBRAHIM'S	PER.IND
AMBITION	O
TO	O
SPLIT	O
THE	ORG.NGO
NPN	ORG.NGO
(REF	O
A)	O
COULD	O
BEAR	O
FRUIT	O
SINCE	O
UNITY	O
WAS	O
NOT	O
THE	O
DOMINANT	O
FEATURE	O
OF	O
THE	O
MEETING	O
.	O
	O
OUR	null
EFFORTS	O
TO	O
IDENTIFY	O
THE	O
FLOW	O
OF	O
FOREIGN	O
MONEY	O
INTO	O
NORTHERN	O
POLITICAL	O
ACTIVITY	O
HAVE	O
NOT	O
BORNE	O
MUCH	O
FRUIT	O
SO	O
FAR	O
.	O
ASIDE	O
FROM	O
LIBYAN	GPE.SPECIAL
CONNECTION	O
ON	O
WHICH	O
EMBASSY	ORG.GOV
AND	O
CONSULATE	null
HAVE	O
REPORTED	O
EGYPT	GPE.SPECIAL
