BELA	null
BENYEI	null
,	null
HUNGARIAN	null
AMBASSADOR	null
TO	null
LAOS	null
,	O
TOLD	O
US	null
JANUARY	O
26	O
THAT	O
THE	O
RECENT	O
VISIT	O
OF	O
AN	O
HUNGARIAN	null
AID	null
TEAM	null
HAD	O
BEEN	O
TO	O
DISCUSS	O
POSSIBLE	O
AID	O
PROJECTS	O
WITHIN	O
THE	O
FRAMEWORK	O
OF	O
THE	O
EXISTING	O
LAO	null
-HUNGARIAN	null
AID	O
AGREE	O
-	O
MENT	O
.	O
THE	null
TEAM	null
WAS	O
HOPING	O
TO	O
RECEIVE	O
PROPOSALS	O
FROM	O
THE	null
LAO	null
AS	O
TO	O
HOW	O
HUNGARIAN	null
AID	O
MIGHT	O
BE	O
USED	O
.	O
AS	O
USUAL	O
,	O
BENYEI	null
SAID	O
,	O
THE	O
DELAYS	O
STEMMED	O
FROM	O
THE	O
LACK	O
OF	O
ECONOMIC	O
EXPERTISE	O
AMONG	O
THE	null
LAO	null
AND	O
THEIR	null
INABILITY	O
TO	O
BE	O
PRECISE	O
ABOUT	O
THEIR	null
NEEDS	O
.	O
BENYEI	null
TOLD	O
US	null
IN	O
CONFIDENCE	O
THAT	O
THE	O
HUNGARIAN	null
TREND	O
OF	O
THINKING	O
WAS	O
THAT	O
AID	O
TO	O
ESTABLISH	O
A	O
POULTRY	O
FARM	O
AND	O
A	O
LAO	null
VETERINARY	O
MEDICINE	O
INDUSTRY	O
MIGHT	O
BE	O
THE	O
MOST	O
SUITABLE	O
TYPES	O
OF	O
PROJECTS	O
.	O
BENYEI	null
SAID	O
THAT	O
EVEN	O
THOUGH	O
NO	O
SPECIFIC	O
PROJECTS	O
HAD	O
BEEN	O
AGREED	O
UPON	O
,	O
HUNGARY	null
HAD	O
ALREADY	O
PROVIDED	O
LAOS	null
WITH	O
27	O
TONS	O
OF	O
HUMAN	O
AND	O
VETERINARY	O
MEDICINES	O
.	O
THEY	O
HAD	O
ARRIVED	O
IN	O
TWO	O
CARGO	O
PLANES	O
CHARTERED	O
FROM	O
AUSTRIA	null
,	O
ONE	O
LAST	O
MONTH	O
AND	O
ONE	O
JUST	O
LAST	O
WEEK	O
.	O
A	O
THIRD	O
FLIGHT	O
WITH	O
19	O
TONS	O
OF	O
MEDICINES	O
AND	O
COMMUNICATIONS	O
EQUIPMENT	O
WAS	O
EXPECTED	O
SOON	O
.	O
ROBERTS	null
