(C	O
-ENTIRE	O
TEXT)	O
THE	PER.IND
PRESIDENT	PER.IND
OF	PER.IND
PARAGUAY	PER.IND
,	PER.IND
GENERAL	PER.IND
ALFREDO	PER.IND
STROESSNER	PER.IND
,	O
WILL	O
CELEBRATE	O
THE	O
25TH	O
ANNIVERSARY	O
OF	O
HIS	PER.IND
FORMAL	O
ELECTION	O
OF	O
OFFICE	O
ON	O
AUGUST	O
15	O
.	O
EUROPEAN	O
AMBASSADORS	O
CONSULTED	O
AMONG	O
THEMSELVES	O
AND	O
WITH	O
AMBASSADOR	PER.IND
WHITE	PER.IND
BEFORE	O
HIS	PER.IND
DEPARTURE	O
ON	O
HOME	O
LEAVE	O
REGARDING	O
PARTICIPATION	O
,	O
IF	O
ANY	O
,	O
IN	O
WHATEVER	O
ACTIVITIES	O
ARE	O
PLANNED	O
FOR	O
THIS	O
OCCASION	O
.	O
IN	O
THE	O
LAST	O
WEEK	O
,	O
THE	PER.IND
CHARGE	PER.IND
HAS	O
CONSULTED	O
WITH	O
THE	O
AMBASSADORS	PER.GROUP
OF	O
GREAT	GPE.NATION
BRITAIN	GPE.NATION
,	O
FRANCE	GPE.NATION
,	O
GERMANY	GPE.NATION
AND	O
ITALY	GPE.NATION
ON	O
SEVERAL	O
OCCASIONS	O
AND	O
TOOK	O
PART	O
IN	O
A	O
LUNCHEON	O
ON	O
AUGUST	O
4	O
AT	O
WHICH	O
THE	PER.IND
FORIEGN	PER.IND
OFFICE	PER.IND
CHIEF	PER.IND
OF	PER.IND
PROTOCOL	PER.IND
DIS	O
-	O
CUSSED	O
ANNVIERSARY	O
PLANS	O
.	O
HE	PER.IND
TOLD	O
A	O
GROUP	O
OF	O
DCMS	O
AND	O
CHARGES	O
THAT	O
NO	O
PARTICULAR	O
IMPORTANCE	O
WILL	O
BE	O
GIVEN	O
THE	O
OCC	O
ASION	O
APART	O
FROM	O
THE	O
NORMAL	O
PARADE	O
,	O
WREATH	O
-LAYING	O
AND	O
RECEPTION	O
HELD	O
TO	O
CELEBRATE	O
THE	O
FOUNDING	O
OF	O
ASUNCION	O
ON	O
THE	O
SAME	O
DATE	O
.	O
SPECIAL	O
INVITATIONS	O
ARE	O
BEING	O
SENT	O
BY	O
THE	PER.IND
PRESIDENT	PER.IND
TO	O
SPECIFIC	O
FOREIGN	O
INVITEES	O
TO	O
TAKE	O
PART	O
IN	O
SOME	O
PUBLIC	O
CEREMONIES	O
TO	O
MARK	O
HIS	PER.IND
25TH	O
ANNIVERSARY	O
BUT	O
NOT	O
NATIONAL	GPE.NATION
DELEGATIONS	O
WILL	O
BE	O
INVITIED	O
.	O
THE	O
EUROPEAN	O
AMBASSADORS	O
HAVE	O
NOT	O
YET	O
DECIDED	O
WHAT	O
TO	O
DO	O
FOR	O
THE	O
AUGUST	O
15	O
ANNIVERSARY	O
.	O
PARIS	GPE.NATION
HAS	O
ADVISED	O
THE	PER.IND
FRENCH	PER.IND
AMBASSADOR	PER.IND
THAT	O
NO	O
MESSAGE	O
WILL	O
BE	O
SENT	O
FROM	O
PRESIDENT	PER.IND
GISCARD	PER.IND
AND	O
THAT	O
HE	PER.IND
SHOULD	O
LIMIT	O
HIS	PER.IND
PARTICIPATION	O
TO	O
LOW	O
-	O
KEY	O
ATTENDANCE	O
AT	O
WHATEVER	O
EVENTS	O
ARE	O
.	O
THE	PER.IND
GERMAN	PER.IND
AMBASSADOR	PER.IND
HAS	O
MADE	O
THE	O
SAME	O
RECOMMENDATION	O
TO	O
BONN	GPE.NATION
,	O
AS	O
HAS	O
THE	PER.IND
BRITISH	PER.IND
AMBASSADOR	PER.IND
,	O
TO	O
LONDON	GPE.NATION
,	O
.	O
THE	ORG.MED
EUROPEAN	ORG.MED
COMMUNITY	ORG.MED
,WILL	O
NOT	O
SEND	O
A	O
SPECIAL	O
MESSAGE	O
OR	O
NAME	O
ANY	O
HIGH	O
-LEVEL	O
REPRE	O
-	O
SENTATIVE	O
FOR	O
THE	O
OCCASION	O
.	O
THE	AMBASSADOR
ITALIAN	AMBASSADOR
AMBASSADOR	AMBASSADOR
,	O
WHO	O
ARRIVED	O
A	O
SHORT	O
TIME	O
AGO	O
AND	O
IS	O
ANXIOUS	O
TO	O
INGRATIATE	O
HIMSELF	AMBASSADOR
WITH	O
THE	GPE.NATION
GOVERNMENT	GPE.NATION
AT	O
RELATIVELY	O
SMALL	O
COST	O
,	O
MAY	O
RECOMMEND	O
TO	O
ROME	GPE.NATION
A	O
PRIVATE	O
MESSAGE	O
FROM	O
THE	PER.IND
ITALIAN	PER.IND
