ON	O
JANUARY	O
12	O
,	O
AN	O
ORGANIZATIONAL	O
MEETING	O
WAS	O
HELD	O
BY	O
THE	null
GROUPS	null
WHO	O
WILL	O
INITIALLY	O
COMPRISE	O
THE	null
PROJECTED	null
NEW	null
OPPOSITION	null
SUPER	null
-COALITION	null
,	null
THE	null
NATIONAL	null
PATRIOTIC	null
FRONT	null
(FPN)	null
.	O
THE	O
GOALS	O
OF	O
THE	null
PROPOSED	null
GROUP	null
ARE:	O
DEFENSE	O
OF	O
MATIONAL	GPE.NATION
SOVEREIGNTY	O
,	O
OVERTHROW	O
OF	O
THE	PER.IND
DICTATORSHIP	PER.IND
(READ	O
THE	GPE.NATION
GON	GPE.NATION
)	O
,	O
AND	O
STRUGGLE	O
FOR	O
EFFECTIVE	O
DEMOCRACY	O
,	O
JUSTICE	O
AND	O
SOCIAL	O
PROGRESS	O
.	O
GROUPS	O
PRESENT	O
AT	O
THE	O
MEETING	O
WERE:	O
UNITED	ORG.NGO
PEOPLE'S	ORG.NGO
MOVEMENT	ORG.NGO
(MPU)	ORG.NGO
,	O
THE	ORG.NGO
GROUP	ORG.NGO
OF	ORG.NGO
TWELVE	ORG.NGO
,	O
THE	ORG.NGO
INDEPEDENT	ORG.NGO
LIBERAL	ORG.NGO
PARTY	ORG.NGO
(PLI)	ORG.NGO
,	O
THE	ORG.NGO
RADIO	ORG.NGO
JOURNALISTS'	ORG.NGO
UNION	ORG.NGO
OF	ORG.NGO
MANAGUA	ORG.NGO
	O
,	O
THE	ORG.NGO
NICARAGUAN	ORG.NGO
WORKERS'	ORG.NGO
CENTRAL	ORG.NGO
,	O
AT	O
LEAST	O
ONE	O
FACTION	O
OF	O
THE	ORG.NGO
CONSERVATIVE	ORG.NGO
PARTY	ORG.NGO
,	O
THE	ORG.NGO
POPULAR	ORG.NGO
SOCIAL	ORG.NGO
CHRISTIAN	ORG.NGO
PARTY	ORG.NGO
,	O
AND	O
THE	ORG.NGO
NICARAGUAN	ORG.NGO
DEMOCRATIC	ORG.NGO
MOVEMENT	ORG.NGO
(MDN)	ORG.NGO
.	O
THE	O
LATTER	O
THREE	O
DECLARED	O
THEMSELVES	O
TO	O
BE	O
OBSERVERS	O
BUT	O
NOT	O
PARTICIPANTS	O
.	O
AMONG	O
THE	O
POINTS	O
M	O
