(LOU)	ORG.NGO
PRIME	ORG.NGO
MINISTER	ORG.NGO
RAMGOOLAM'S	ORG.NGO
LABOR	ORG.NGO
PARTY	ORG.NGO
HELD	O
ITS	PER.GROUP
ANNUAL	PER.GROUP
CONGRESS	PER.GROUP
LAST	O
WEEKEND	O
.	O
RAGMOOLAM	PER.IND
,	O
IN	O
HIS	PER.IND
ADDRESS	O
TO	O
THE	PER.GROUP
DELE	PER.GROUP
-	PER.GROUP
GATES	PER.GROUP
,	O
MADE	O
A	O
STANDARD	O
POLITICAL	O
SPEECH	O
.	O
TWO	O
POINTS	O
OF	O
INTEREST	O
WERE	O
HIS	PER.IND
DISAVOWAL	O
OF	O
ANY	O
INTENTION	O
TO	O
FORM	O
A	O
COALITION	O
WITH	O
THE	ORG.NGO
OPPOSITION	ORG.NGO
MMM	ORG.NGO
PARTY	ORG.NGO
AND	O
HIS	PER.IND
DECLARATION	O
OF	O
HIS	PER.IND
CONTINUED	O
SUPPORT	O
FOR	O
THE	O
EXISTING	O
COALITION	O
BETWEEN	O
LABOR	ORG.NGO
AND	O
THE	ORG.NGO
PMSD	ORG.NGO
.	O
RAMGOOLAM	PER.IND
DENCOUNCED	O
THE	ORG.NGO
MMM	ORG.NGO
AS	O
A	O
“COMMUNIST	PER.GROUP
PARTY	PER.GROUP
	O
."	O
LABOR	PER.GROUP
PARTY	PER.GROUP
DISSIDENTS	PER.GROUP
HARISH	PER.GROUP
BOODHOO	PER.GROUP
,	PER.GROUP
ROHIT	PER.GROUP
BEEDASSY	PER.GROUP
AND	PER.GROUP
RADAHKRISHNA	PER.GROUP
GUNGOOSINGH	PER.GROUP
DID	O
NOT	O
ATTEND	O
THE	O
CONGRESS	O
BUT	O
WERE	O
THE	O
SUBJECT	O
OF	O
MUCH	O
ACRIMONIOUS	O
DISCUSSION	O
AND	O
DEBATE	O
.	O
THE	PER.IND
PRIME	PER.IND
MINISTER	PER.IND
BLOCKED	O
A	O
WELL	O
SUPPORTED	O
MOTION	O
CALLING	O
FOR	O
EXPULSION	O
OF	O
THE	PER.GROUP
DISDIDENTS	PER.GROUP
FROM	O
THE	ORG.NGO
PARTY	ORG.NGO
AND	O
THE	ORG.GOV
PARTY	ORG.GOV
EXECUTIVE	ORG.GOV
	O
.	O
FOREIGN	PER.IND
MIN	PER.IND
