(C)	O
EMBASSY	PER.IND
(ICA)	PER.IND
FSN	PER.IND
EMPLOYEE	PER.IND
JOHN	PER.IND
DOOKLEY	PER.IND
WAS	O
PEACEFULLY	O
DETAINED	O
BY	O
TWO	O
OFFICERS	O
FROM	O
POLICE	ORG.GOV
CRIMINAL	ORG.GOV
INVESTIGATION	ORG.GOV
DIVISION	ORG.GOV
(CID)	ORG.GOV
AT	O
APPROXIMATELY	O
2:00	O
P	O
.M	O
.	O
LOCAL	O
TIME	O
NOV	O
16	O
.	O
DOOKLEY	PER.IND
,	O
WHO	O
WAS	O
WORKING	O
AT	O
OUR	ORG.GOV
LIBRARY	O
AT	O
TIME	O
OF	O
ARREST	O
,	O
JOINS	O
OTHERS	O
ARRESTED	O
OVER	O
PREVIOUS	O
EIGHTEEN	O
-HOUR	O
PERIOD	O
(REF	O
A)	O
.	O
(U)	O
LIBRARY	O
IMMEDIATELY	O
CLOSED	O
BY	O
CHARGE	PER.IND
.	O
(C)	O
THERE	O
HAVE	O
BEEN	O
TWO	O
INDICATIONS	O
THAT	O
DOOKLEY	PER.IND
POSSIBLY	O
IN	O
TROUBLE	O
.	O
FIRST	O
WAS	O
SUGGESTION	O
BY	O
MINISTER	PER.IND
SINON	PER.IND
(REF	O
B)	O
THAT	O
LIBRARY	O
HAD	O
BEEN	O
USED	O
BY	O
SECONDARY	O
SCHOOL	O
STUDENTS	O
TO	O
PLAN	O
ANTI	O
-GOVERNMENT	GPE.NATION
DEMONSTRATIONS	O
.	O
DOOKLEY	PER.IND
IS	O
GENERALLY	O
KNOWN	O
TO	O
BE	O
LIBRARY	PER.IND
SUPERVISOR	PER.IND
.	O
SECOND	O
WAS	O
FACT	O
THAT	O
HE	PER.IND
WAS	O
BEATEN	O
UP	O
,	O
HE	PER.IND
HIMSELF	PER.IND
REPORTED	O
,	O
BY	O
GROUP	O
OF	O
SOLDIERS	ORG.GOV
FEW	O
DAYS	O
AFTER	O
CHILDRENS'	O
DEMONSTRATIONS	O
.	O
DOOKLEY	PER.IND
CLAIMED	O
SOLDIERS	ORG.GOV
HAD	O
SAID	O
NOTHING	O
ABOUT	O
WHAT	O
HE	PER.IND
WAS	O
ALLEGED	O
TO	O
HAVE	O
DONE	O
WRONG	O
.	O
IRONICALLY	O
,	O
DOOKLEY	PER.IND
WAS	O
CID	PER.IND
OFFICER	PER.IND
BEFORE	O
JOINING	O
EMBASSY	ORG.GOV
STAFF	ORG.GOV
IN	O
JULY	O
,	O
1978	O
.	O
BASED	O
ON	O
WHAT	O
WE	ORG.GOV
HAVE	O
BEEN	O
ABLE	O
TO	O
GATHER	O
,	O
MANY	O
OF	O
ARRESTEES	O
APPEAR	O
TO	O
BE	O
EX	O
-POLICEMEN	O
.	O
EX	O
-POLICEMEN	O
ARE	O
,	O
AFTER	O
ALL	O
,	O
ONLY	O
GROUP	O
IN	O
SEYCHELLES	O
NOT	O
CURRENTLY	O
ON	O
GOS	GPE.NATION
PAYROLL	O
WITH	O
WEAPONS	O
TRAINING	O
.	O
THUS	O
,	O
IT	O
MAY	O
BE	O
THAT	O
DOOKLEY'S	PER.IND
DETENTION	O
IS	O
PRECAUTIONARY	O
MEASURE	O
AND	O
NOT	O
RELATED	O
TO	O
ANY	O
SPECIFIC	O
GOS	GPE.NATION
EVIDENCE/CONCERN	O
ABOUT	O
ANTI	O
-REGIME	GPE.NATION
PLOTTING	O
ON	O
HIS	PER.IND
PART	O
.	O
FOR	O
RECORD	O
,	O
CHARGE	PER.IND
ASKED	O
DOOKLEY	PER.IND
ON	O
SEVERAL	O
OCCASIONS	O
TO	O
AVOID	O
IDENTIFICATION	O
WITH	O
POLITICAL	O
OPPOSITION	O
,	O
BECAUSE	O
THAT	O
MIGHT	O
COMPROMISE	O
POSITION	O
OF	O
EMBASSY	ORG.GOV
.	O
HE	PER.IND
ALWAYS	O
PROMISED	O
TO	O
HEED	O
THAT	O
ADVISE	O
.	O
(C)	O
WE	ORG.GOV
ARE	O
NOT	O
SURE	O
HOW	O
TO	O
PROCEED	O
FROM	O
THIS	O
POINT	O
.	O
OBVIOUSLY	O
,	O
WE	ORG.GOV
HAVE	O
NO	O
RIGHT	O
OF	O
CONSULAR	O
ACCESS	O
,	O
BUT	O
DO	O
WE	ORG.GOV
HAVE	O
RIGHT/RESPONSIBILITY	O
TO	O
ASK	O
POLICE	ORG.GOV
OR	O
FOREIGN	ORG.GOV
MINISTRY	ORG.GOV
FORMALLY	O
FOR	O
EXPLANATION	O
OF	O
DOOKLEY'S	PER.IND
ARREST	O
?	O
FYI	O
,	O
LOCAL	O
CHAUFFEUR	O
OF	O
UK	ORG.GOV
HIGH	ORG.GOV
COMMISSION	ORG.GOV
WAS	O
AMONG	O
THOSE	O
DETAINED	O
BY	O
GOS	GPE.NATION
IN	O
APRIL	O
AND	O
RELEASED	O
IN	O
JULY	O
,	O
1978	O
.	O
CHARGE	PER.IND
WILL	O
CONSULT	O
HIGH	ORG.GOV
COMMISSION	ORG.GOV
AS	O
TO	O
HOW	O
THAT	O
SITUATION	O
WAS	O
HANDLED	O
.	O
(U)	O
REQUEST	O
GUIDANCE	O
.	O
FELDER	PER.IND
